,time,text,deaths,death_score,injuries,injury_score,location,tweet_loc
0,2021-10-08T16:32:06.000Z,"Today is the 16th anniversary of 2005 Kashmir #earthquake\n\nThere can't be a bigger tragedy than this earthquake which resulted in the death of more than 70,000 people. https://t.co/1tKIOpTcns",70000,-1,-1,-1,Kashmir,"[69.328873, 27.708226, 75.382124, 34.019989]"
1,2021-10-07T18:23:49.000Z,"Powerful #earthquake rocks #tokyo #japan; 1 person injured, no major damage reported. \n@amritabhinder 😯\n#news #ABC https://t.co/LoplMEtYqY",1,-1,-1,-1,Tokyo,"[76.84252, 28.397657, 77.347652, 28.879322]"
2,2021-10-07T00:50:56.000Z,#Earthquake 5.88 magnitude in #Balochistan.\nMy sincere #Prayers\n Up to 20 ppl thought to have been killed. Several houses destroyed. https://t.co/P0XeyOZWkw,20,-1,-1,-1,Balochistan,"[69.328873, 27.708226, 75.382124, 34.019989]"
3,2021-10-04T11:15:26.000Z,"RT @TODAYshow: The U.S. death toll from COVID-19 has surpassed 700,000, and even though cases are declining, experts are still advising caution, and already warning about the holiday season. @Miguelnbc reports. https://t.co/hhim015oGs #FoxNews #foxandfriends",700000,-1,-1,-1,United States,"[-82.515067, 42.999457, -82.435668, 43.083925]"
4,2021-09-30T12:37:11.000Z,"The investigation into the Beirut port explosion simply must go on. More than 200 people were killed. And it's the only way to ensure those responsible for the tragedy, and the ongoing economic and humanitarian crisis, can be held accountable https://t.co/l1aHAwc21t #Lebanon",200,-1,-1,-1,Lebanon,"[-79.810142, 43.373074, -79.422004, 43.737414]"
5,2021-09-23T16:52:22.000Z,"@steffaniodaniel @FAIRImmigration @BreitbartNews 8/21 Haiti was hit by an earthquake leaving 2,200 dead, 10K homeless. 1week later a Hurricane, killing 14,caused 500mil in damage. 1month b4 they're Pres was killed leaving the isle lawless. Those are refugees fleeing death &amp; devastation, they have nothing left to go back to.",14,-1,-1,-1,Haiti,"[-85.605166, 30.355644, -80.742567, 35.000771]"
6,2021-09-13T04:43:29.000Z,"🧵 I’m on my way to #Haiti, where almost a month ago a devastating 7.2 earthquake hit the southeast.  More than 12k people were injured, around 2K have died, 53K houses have been destroyed. On top of that, the affected areas could be hit by severe #storms in the coming weeks. https://t.co/vFHlEGZtde",12000,-1,2000,-1,Haiti,"[12.1250835, 41.7410238, 12.3174662, 42.020287]"
7,2021-09-08T15:12:19.000Z,One dead from a 7.4 #earthquake near #PuebloMadero #Mexico and felt for miles. My condolences to the family. I hope there are no more casualties. #snapmap https://t.co/0wgTBVtXTf,1,-1,-1,-1,Pueblo Madero,"[-115.384091, 36.129459, -115.062159, 36.336371]"
8,2021-08-29T21:48:28.000Z,"As tough as #Hurricane_Ida is for Louisiana, I feel that listening to @bbc5live and stories of trampolines lifting and loss of power, how much air time did @BBCWorld @BBCNews give to #Haitiearthquake2021 ? Check the death toll and damage! https://t.co/0leHHaivXJ",1,-1,-1,-1,Haiti,"[-0.39216, 51.391383, -0.221832, 51.489646]"
9,2021-08-28T01:14:20.000Z,The death toll in Kabul bombing rises to 170 which includes innocent women and children who were merely trying to get away from monstrous TB and live a Life. \nPlease pray for them and a peaceful neighborhood... \n#FarmersProtest,170,-1,-1,-1,Kabul,"[76.167294, 30.072684, 76.654115, 30.448265]"
