,time,text,deaths,death_score,injuries,injury_score,location,tweet_loc
0,2021-10-07T03:34:13.000Z,"The death toll was expected to rise as officials search through the remote mountainous area, said Suhail Anwar Shaheen, the deputy commissioner of the area.\n#earthquake https://t.co/aBBefq2v5v",-1,-1,4000,-1,Pakistan,"[60.878613, 23.56037, 75.382124, 36.913557]"
1,2021-10-07T00:24:46.000Z,Emergency situations in Harnai  Balochistan\nSeveral dead and hundreds are injured.Need help from provincial government\n@jam_kamal \n@PDMABalochistan \n #earthquake https://t.co/Nw40UudhUJ,-1,-1,400,-1,Harnai,"[60.878613, 24.885104, 70.248871, 32.075554]"
2,2021-10-04T20:52:05.000Z,"JUST IN: Over this past year, there have been over 160 search and rescue operations, according to Chief Ranger Daniel Fagergren. \n“We’ve had a total of five fatalities, just in the last four months. And so it’s been one for the record books for sure.” \nhttps://t.co/qQZvtBvtwI",-1,-1,160,-1,,"[-109.050173, 31.332176, -103.002065, 37.000294]"
3,2021-09-13T04:43:29.000Z,"🧵 I’m on my way to #Haiti, where almost a month ago a devastating 7.2 earthquake hit the southeast.  More than 12k people were injured, around 2K have died, 53K houses have been destroyed. On top of that, the affected areas could be hit by severe #storms in the coming weeks. https://t.co/vFHlEGZtde",12000,-1,2000,-1,Haiti,"[12.1250835, 41.7410238, 12.3174662, 42.020287]"
4,2021-08-26T23:02:58.000Z,"My question is Why? \nUpdate: 12 Dead, 11 Marines &amp; 1 Corpsman. Many wounded…this didn’t need to happen like this. Please pray for our people still over there. #army #navy #marines #usa @ Miami, Florida https://t.co/tePaW9agVG",12,-1,11,-1,Miami,"[-80.321683, 25.7090404, -80.144974, 25.855667]"
5,2021-08-26T21:34:10.000Z,"More than 2,000 people were killed in the #Haiti earthquake, and thousands more are injured. Over 650,000 Haitians need humanitarian assistance.\n\n#HelpHaiti: Donate to support Humanity &amp; Inclusion's emergency response in the hardest-hit regions at https://t.co/nrYbSCKnYO\n\n🎥 HI https://t.co/Ru6njM0ZkF",650000,-1,2000,-1,Haiti,"[-74.4798235, 18.0214258, -71.6284598, 20.0894352]"
6,2021-08-26T16:21:03.000Z,"**** My heart is breaking... 2 Isis Terror Attacks at the Kabul airport. 3 U.S troops injured, many casualties! Issis is now threatening a rocket attack. Plz pray for our troops, our Alli troops and Afghan people.****** DO NOT watch the vid it is very graphic****",-1,-1,3,-1,Afghanistan,"[-115.384091, 36.129459, -115.062159, 36.336371]"
7,2021-08-22T23:58:38.000Z,"that mother lost her 5 children, FIVE CHILDREN— to a house fire. My stomach hurts so bad. that pains me and it’s beyond sad. I pray for her mental health and healing. may her babies rest easy 🤧🥺",-1,-1,5,-1,,"[-75.280284, 39.871811, -74.955712, 40.13792]"
8,2021-08-21T15:00:37.000Z,"A week ago today a 7.2-magnitude earthquake rocked #Haiti, killing at least 2,000 people and injuring 12,000 more. 130,000 homes are destroyed.\n\nOur teams are working to provide medical care, logistics support and essential items.\n\nDonate to #HelpHaiti: https://t.co/nrYbSCKnYO https://t.co/HWMBx9wqhe",2000,-1,12000,-1,Haiti,"[-74.4798235, 18.0214258, -71.6284598, 20.0894352]"
9,2021-08-21T11:23:18.000Z,No damage and loss of life is reported till now.\nKarachi feel tremors of 3.1 magnitude.\nMay ALLAH protect us all.\n#earthquake https://t.co/JXzNEODdQl,-1,-1,31,-1,Karachi,"[66.654132, 23.703272, 71.124185, 28.529442]"
