,time,text,deaths,death_score,injuries,injury_score,location,tweet_loc
0,2021-10-08T16:32:06.000Z,"Today is the 16th anniversary of 2005 Kashmir #earthquake\n\nThere can't be a bigger tragedy than this earthquake which resulted in the death of more than 70,000 people. https://t.co/1tKIOpTcns",73000,-1,70000,-1,Kashmir,"[69.328873, 27.708226, 75.382124, 34.019989]"
1,2021-10-07T18:23:49.000Z,"Powerful #earthquake rocks #tokyo #japan; 1 person injured, no major damage reported. \n@amritabhinder 😯\n#news #ABC https://t.co/LoplMEtYqY",1,-1,-1,-1,Tokyo,"[76.84252, 28.397657, 77.347652, 28.879322]"
2,2021-10-07T00:50:56.000Z,#Earthquake 5.88 magnitude in #Balochistan.\nMy sincere #Prayers\n Up to 20 ppl thought to have been killed. Several houses destroyed. https://t.co/P0XeyOZWkw,20,-1,5000,-1,Balochistan,"[69.328873, 27.708226, 75.382124, 34.019989]"
3,2021-10-04T11:15:26.000Z,"RT @TODAYshow: The U.S. death toll from COVID-19 has surpassed 700,000, and even though cases are declining, experts are still advising caution, and already warning about the holiday season. @Miguelnbc reports. https://t.co/hhim015oGs #FoxNews #foxandfriends",700000,-1,7746,-1,US,"[-82.515067, 42.999457, -82.435668, 43.083925]"
4,2021-09-25T08:05:43.000Z,"Little Widnika was seriously injured in the #Haiti earthquake.He goes to our hospital and his mom does not leave his side.During the devastating 7.29 magnitude earthquake that struck at 8:29 am as walls and roofs collapsed in areas of southern Haiti,Our team has been trying. https://t.co/irYXgwSvQs",729,-1,50000,-1,Haiti,"[6.9380658, 4.7337699, 7.1244854, 4.9154902]"
5,2021-09-23T16:52:22.000Z,"@steffaniodaniel @FAIRImmigration @BreitbartNews 8/21 Haiti was hit by an earthquake leaving 2,200 dead, 10K homeless. 1week later a Hurricane, killing 14,caused 500mil in damage. 1month b4 they're Pres was killed leaving the isle lawless. Those are refugees fleeing death &amp; devastation, they have nothing left to go back to.",700,-1,2000,-1,Haiti,"[-85.605166, 30.355644, -80.742567, 35.000771]"
6,2021-09-13T04:43:29.000Z,"🧵 I’m on my way to #Haiti, where almost a month ago a devastating 7.2 earthquake hit the southeast.  More than 12k people were injured, around 2K have died, 53K houses have been destroyed. On top of that, the affected areas could be hit by severe #storms in the coming weeks. https://t.co/vFHlEGZtde",12000,-1,2000,-1,Haiti,"[12.1250835, 41.7410238, 12.3174662, 42.020287]"
7,2021-09-08T03:52:06.000Z,"#Breaking Large 7.0 #Earthquake hits #Acapulco, #Mexico.  Very early. No news of damage or injuries. https://t.co/rzz4hjeNAR",300000,-1,0,-1,Acapulco,"[-121.424332, 38.638355, -121.335815, 38.7044807]"
8,2021-08-26T23:02:58.000Z,"My question is Why? \nUpdate: 12 Dead, 11 Marines &amp; 1 Corpsman. Many wounded…this didn’t need to happen like this. Please pray for our people still over there. #army #navy #marines #usa @ Miami, Florida https://t.co/tePaW9agVG",12,-1,10,-1,"Miami, Florida","[-80.321683, 25.7090404, -80.144974, 25.855667]"
9,2021-08-26T21:34:10.000Z,"More than 2,000 people were killed in the #Haiti earthquake, and thousands more are injured. Over 650,000 Haitians need humanitarian assistance.\n\n#HelpHaiti: Donate to support Humanity &amp; Inclusion's emergency response in the hardest-hit regions at https://t.co/nrYbSCKnYO\n\n🎥 HI https://t.co/Ru6njM0ZkF",2154,-1,-1,-1,Haiti,"[-74.4798235, 18.0214258, -71.6284598, 20.0894352]"
10,2021-08-26T18:51:16.000Z,"Pray for the families of #military killed &amp; civilians killed in #Afghanistan 🙏""Multiple fatalities reported following two explosions outside Kabul airport, a Taliban spokesperson confirms""  https://t.co/GEhEgMoiPi",14,-1,35,-1,Afghanistan,"[-119.248624, 34.101755, -119.082154, 34.262157]"
11,2021-08-26T18:03:36.000Z,Fox News reporting US military death toll now up to 10. Pray for our country.,10,-1,5,-1,United States,"[-83.67529, 36.540739, -75.16644, 39.466012]"
12,2021-08-26T17:23:06.000Z,Pray for Kabul\nAfghanistan is bleeding once Again\n#Kabulairport 30+ civilians dead 70+ casualties and 4 US soldiers died .. R.I.P 🥀 https://t.co/CLfCcUNesE,60,-1,30,-1,Kabul,"[68.106114, 20.120943, 74.47663, 24.708482]"
13,2021-08-26T16:21:03.000Z,"**** My heart is breaking... 2 Isis Terror Attacks at the Kabul airport. 3 U.S troops injured, many casualties! Issis is now threatening a rocket attack. Plz pray for our troops, our Alli troops and Afghan people.****** DO NOT watch the vid it is very graphic****",3000,-1,-1,-1,Navy SEAL killed in Afghanistan,"[-115.384091, 36.129459, -115.062159, 36.336371]"
14,2021-08-26T14:42:45.000Z,"A Sad Day,3 Troops are Wounded in Kabul airport &amp; Hotel Attack, also second explosion.. I’m sorry but I blame Joe Biden Just wouldn’t #ListentoIntelligence back in April. A little girl lost her life in a mans arms #Pray",3,-1,-1,-1,Kabul,"[-84.3219475, 33.752879, -75.40012, 36.588118]"
15,2021-08-26T13:54:23.000Z,"Blast at #Kabul airport, casualties expected.\nI pray for #peace and victims",1,-1,-1,-1,Kabul,"[66.95121, 24.802239, 67.133179, 25.007912]"
16,2021-08-23T16:47:59.000Z,"This happened last week in E. St. Louis...\nApartment fire that resulted in 5 children.dead 🥺\nY'all pray for Sabrina Dunigan the family.\n\nhttps://t.co/UWYaSkEkGE @ East Saint Louis, Illinois https://t.co/nbDsmNauS6",5,-1,5,-1,"East St. Louis, Illinois ","[-90.183218, 38.57847, -90.042091, 38.645742]"
17,2021-08-19T15:39:15.000Z,"#Haiti earthquake death toll rises to 2,189, over 12,000 injured &amp; more than 1.2m people impacted by disaster that struck the country last weekend https://t.co/o4JB3GpMT3",2189,-1,12000,-1,Haiti,"[35.59812591978788, -0.17524245127580623, 35.59812591978788, -0.17524245127580623]"
