,time,text,deaths,death_score,injuries,injury_score,location,tweet_loc
0,2021-10-08T16:32:06.000Z,"Today is the 16th anniversary of 2005 Kashmir #earthquake\n\nThere can't be a bigger tragedy than this earthquake which resulted in the death of more than 70,000 people. https://t.co/1tKIOpTcns",73000,-1,70000,-1,Kashmir,"[69.328873, 27.708226, 75.382124, 34.019989]"
1,2021-10-08T15:55:03.000Z,Scores of civilian casualties as a result of horrific attack during a pray congregation in #Kunduz earlier today. @ICRC_af team in Kunduz urgently provided medical supplies to the hospital to help treat the influx of wounded civilians. \n\nCivilians must not be targeted. https://t.co/jEJS6FVyOy,-1,-1,30,-1,Kunduz,"[60.4784431, 29.3774719, 74.879448, 38.4834175]"
2,2021-10-07T15:52:18.000Z,@JPN_PMO @ACSTokyo @JapaninCanada @Tokyo2020jp @MofaJapan_en  @BBCNews @cnnbrk @ABC @FoxNews @news24ntv lot of damage on my younger sister house #kanagawa she is a little injured also . .. I am scared about her #earthquake #japan #damage #news #video https://t.co/xWNVXfbgNU,-1,-1,30000,-1,Kanagawa,"[139.569658000686, 35.4623070017179, 139.668656003482, 35.5036980000826]"
3,2021-10-07T03:34:13.000Z,"The death toll was expected to rise as officials search through the remote mountainous area, said Suhail Anwar Shaheen, the deputy commissioner of the area.\n#earthquake https://t.co/aBBefq2v5v",-1,-1,4000,-1,Pakistan,"[60.878613, 23.56037, 75.382124, 36.913557]"
4,2021-10-07T00:50:56.000Z,#Earthquake 5.88 magnitude in #Balochistan.\nMy sincere #Prayers\n Up to 20 ppl thought to have been killed. Several houses destroyed. https://t.co/P0XeyOZWkw,20,-1,5000,-1,Balochistan,"[69.328873, 27.708226, 75.382124, 34.019989]"
5,2021-10-07T00:24:46.000Z,Emergency situations in Harnai  Balochistan\nSeveral dead and hundreds are injured.Need help from provincial government\n@jam_kamal \n@PDMABalochistan \n #earthquake https://t.co/Nw40UudhUJ,-1,-1,300,-1,Quetta,"[60.878613, 24.885104, 70.248871, 32.075554]"
6,2021-10-04T20:52:05.000Z,"JUST IN: Over this past year, there have been over 160 search and rescue operations, according to Chief Ranger Daniel Fagergren. \n“We’ve had a total of five fatalities, just in the last four months. And so it’s been one for the record books for sure.” \nhttps://t.co/qQZvtBvtwI",-1,-1,5,-1,10,"[-109.050173, 31.332176, -103.002065, 37.000294]"
7,2021-10-04T11:15:26.000Z,"RT @TODAYshow: The U.S. death toll from COVID-19 has surpassed 700,000, and even though cases are declining, experts are still advising caution, and already warning about the holiday season. @Miguelnbc reports. https://t.co/hhim015oGs #FoxNews #foxandfriends",700000,-1,7746,-1,US,"[-82.515067, 42.999457, -82.435668, 43.083925]"
8,2021-09-30T12:37:11.000Z,"The investigation into the Beirut port explosion simply must go on. More than 200 people were killed. And it's the only way to ensure those responsible for the tragedy, and the ongoing economic and humanitarian crisis, can be held accountable https://t.co/l1aHAwc21t #Lebanon",-1,-1,4000,-1,#Lebanon,"[-79.810142, 43.373074, -79.422004, 43.737414]"
9,2021-09-25T08:05:43.000Z,"Little Widnika was seriously injured in the #Haiti earthquake.He goes to our hospital and his mom does not leave his side.During the devastating 7.29 magnitude earthquake that struck at 8:29 am as walls and roofs collapsed in areas of southern Haiti,Our team has been trying. https://t.co/irYXgwSvQs",729,-1,50000,-1,Haiti,"[6.9380658, 4.7337699, 7.1244854, 4.9154902]"
