,time,text,deaths,death_score,injuries,injury_score,city,city_score,country,country_score,earthquake,earthquake_score,tweet_loc
0,2021-10-08T16:32:06.000Z,"Today is the 16th anniversary of 2005 Kashmir #earthquake\n\nThere can't be a bigger tragedy than this earthquake which resulted in the death of more than 70,000 people. https://t.co/1tKIOpTcns",70000,"{'70': {'70': 0.5494810938835144, 'none': 0.18405310809612274, '7': 0.029121430590748787, '71': 0.01924808882176876, '700': 0.009307768195867538}, ',': {',': 0.842440664768219, '|': 0.02708021178841591, 'k': 0.007345704827457666, 'K': 0.005544828716665506, '5000': 0.0051683480851352215}, '000': {'000': 0.9621574282646179, '00': 0.0020083291456103325, '0000': 0.0012276668567210436, '200': 0.0009561079205013812, '500': 0.0008178025600500405}}",-1,"{'none': {'none': 0.11626584827899933, '70': 0.06420809775590897, '5000': 0.04412953928112984, '4': 0.03864111378788948, '4000': 0.037745993584394455}}",Kashmir,"{'K': {'K': 0.5050690770149231, 'none': 0.18008793890476227, 'J': 0.0622367225587368, 'S': 0.054072197526693344, 'India': 0.012065138667821884}, 'ash': {'ash': 0.9650967121124268, 'ath': 0.008349722251296043, 'olk': 0.0037051669787615538, 'abul': 0.0014623443130403757, 'ASH': 0.0011568095069378614}, 'mir': {'mir': 0.9983036518096924, 'm': 0.00039153025136329234, 'mire': 0.0002128713094862178, 'imir': 0.00015573996643070132, 'gar': 0.00013530923752114177}}",India,-1,yes,-1,"[69.328873, 27.708226, 75.382124, 34.019989]"
1,2021-10-07T18:23:49.000Z,"Powerful #earthquake rocks #tokyo #japan; 1 person injured, no major damage reported. \n@amritabhinder 😯\n#news #ABC https://t.co/LoplMEtYqY",1,"{'1': {'1': 0.6686303615570068, 'none': 0.1563514620065689, 'no': 0.014657014049589634, '0': 0.01263513509184122, 'one': 0.010474895127117634}}",-1,"{'none': {'none': 0.5831634402275085, '1': 0.07709434628486633, '0': 0.057291653007268906, 'no': 0.0442715585231781, '4': 0.017887325957417488}}",Tokyo,"{'Tok': {'Tok': 0.8474829792976379, 'none': 0.10944211483001709, 'Japan': 0.01034000888466835, 't': 0.00395540613681078, 'T': 0.0036581524182111025}, 'yo': {'yo': 0.9996839761734009, 'y': 0.00018233021546620876, 'oy': 3.425883551244624e-05, 'ya': 2.9303133487701416e-05, 'io': 1.862620592874009e-05}}",Japan,-1,no,-1,"[76.84252, 28.397657, 77.347652, 28.879322]"
2,2021-10-07T00:50:56.000Z,#Earthquake 5.88 magnitude in #Balochistan.\nMy sincere #Prayers\n Up to 20 ppl thought to have been killed. Several houses destroyed. https://t.co/P0XeyOZWkw,20,"{'20': {'20': 0.5518995523452759, 'none': 0.15812186896800995, '10': 0.03528175503015518, '5': 0.019332805648446083, '0': 0.015174494124948978}}",-1,"{'none': {'none': 0.22352273762226105, '20': 0.1253848820924759, '10': 0.0635419711470604, '5': 0.037647370249032974, '40': 0.023559121415019035}}",Balochistan,"{'Bal': {'Bal': 0.607969343662262, 'none': 0.19431866705417633, 'Qu': 0.013223551213741302, 'K': 0.010218368843197823, 'B': 0.009750435128808022}, 'och': {'och': 0.9952933192253113, 'uch': 0.003070337697863579, 'oc': 0.0002559975255280733, 'ch': 0.00018011676729656756, 'ach': 0.00017321659834124148}, 'istan': {'istan': 0.9985705614089966, '|': 0.00034292700001969934, 'i': 0.00032467677374370396, 'ist': 0.00011759012704715133, 'stan': 0.00010960605141008273}}",Pakistan,-1,yes,-1,"[69.328873, 27.708226, 75.382124, 34.019989]"
3,2021-10-04T20:52:05.000Z,"JUST IN: Over this past year, there have been over 160 search and rescue operations, according to Chief Ranger Daniel Fagergren. \n“We’ve had a total of five fatalities, just in the last four months. And so it’s been one for the record books for sure.” \nhttps://t.co/qQZvtBvtwI",160,"{'160': {'160': 0.3581288754940033, '5': 0.1338229924440384, 'none': 0.10260564088821411, '4': 0.028492558747529984, '16': 0.027187788859009743}}",-1,"{'none': {'none': 0.15951596200466156, '5': 0.09827493131160736, '4': 0.07246339321136475, '4000': 0.046785879880189896, '5000': 0.037888363003730774}}",,"{'none': {'none': 0.3864353895187378, 'S': 0.017381425946950912, 'R': 0.016456404700875282, 'B': 0.013120188377797604, 'M': 0.011669337749481201}}",USA,-1,yes,-1,"[-109.050173, 31.332176, -103.002065, 37.000294]"
4,2021-10-04T11:15:26.000Z,"RT @TODAYshow: The U.S. death toll from COVID-19 has surpassed 700,000, and even though cases are declining, experts are still advising caution, and already warning about the holiday season. @Miguelnbc reports. https://t.co/hhim015oGs #FoxNews #foxandfriends",700000,"{'700': {'700': 0.7700156569480896, 'none': 0.06834276765584946, '7': 0.030326921492815018, 'yes': 0.014780161902308464, '70': 0.013352762907743454}, '000': {'000': 0.7384985089302063, ',': 0.16478128731250763, '|': 0.04795408993959427, 'k': 0.02127949707210064, 'K': 0.00880158320069313}}",40000,"{'4': {'4': 0.11730249226093292, 'none': 0.11638963222503662, '4000': 0.09955333918333054, '5000': 0.033086687326431274, '400': 0.02742982842028141}, '0000': {'0000': 0.7512955069541931, '000000': 0.11521489918231964, '|': 0.037993840873241425, '200': 0.025309352204203606, '0000000': 0.012726342305541039}}",,"{'none': {'none': 0.2759529650211334, 'New': 0.16477903723716736, 'USA': 0.15003302693367004, 'NY': 0.029774965718388557, 'Washington': 0.026899438351392746}}",USA,-1,yes,-1,"[-82.515067, 42.999457, -82.435668, 43.083925]"
5,2021-09-30T12:37:11.000Z,"The investigation into the Beirut port explosion simply must go on. More than 200 people were killed. And it's the only way to ensure those responsible for the tragedy, and the ongoing economic and humanitarian crisis, can be held accountable https://t.co/l1aHAwc21t #Lebanon",200,"{'200': {'200': 0.3849261701107025, 'none': 0.25641611218452454, 'more': 0.014241733588278294, '20': 0.010834538377821445, '201': 0.009636438451707363}}",-1,"{'none': {'none': 0.14744378626346588, '200': 0.08335715532302856, '4000': 0.06146370992064476, '5000': 0.04786798730492592, '4': 0.04639524221420288}}",Beirut,"{'Be': {'Be': 0.8203077912330627, 'L': 0.11276485025882721, 'none': 0.03958418220281601, 'B': 0.007208815310150385, 'be': 0.0035686225164681673}, 'ir': {'ir': 0.9968696236610413, 'ira': 0.0009983713971450925, 'ire': 0.0003789390320889652, 'i': 0.00019506107491906732, 'yr': 0.0001890596904559061}, 'ut': {'ut': 0.9995177984237671, 'uth': 0.00013130571460351348, 'uti': 5.473635974340141e-05, 'UT': 5.305230297381058e-05, 'ute': 4.2628718802006915e-05}}",Lebanon,-1,yes,-1,"[-79.810142, 43.373074, -79.422004, 43.737414]"
6,2021-09-23T16:52:22.000Z,"@steffaniodaniel @FAIRImmigration @BreitbartNews 8/21 Haiti was hit by an earthquake leaving 2,200 dead, 10K homeless. 1week later a Hurricane, killing 14,caused 500mil in damage. 1month b4 they're Pres was killed leaving the isle lawless. Those are refugees fleeing death &amp; devastation, they have nothing left to go back to.",14,"{'14': {'14': 0.29872503876686096, '2': 0.1525738388299942, 'none': 0.09850907325744629, '8': 0.05482855066657066, '10': 0.031485386192798615}}",500000,"{'500': {'500': 0.30266159772872925, 'none': 0.0982598289847374, '2': 0.07359321415424347, '10': 0.06393889337778091, '5000': 0.056868426501750946}, '000': {'000': 0.507292628288269, '|': 0.19557872414588928, 'mil': 0.16214045882225037, ',': 0.03452169522643089, 'M': 0.026676299050450325}}",Haiti,"{'H': {'H': 0.6809720993041992, 'Port': 0.10774543881416321, 'none': 0.10443045943975449, 'New': 0.006470615975558758, 'Ha': 0.004884277004748583}, 'ait': {'ait': 0.9964788556098938, 'av': 0.0012227505212649703, 'ai': 0.000281493179500103, 'ond': 0.00015667453408241272, 'ain': 0.00014154364180285484}, 'i': {'i': 0.9972341656684875, 'I': 0.00036455533700063825, 'is': 0.0003561104240361601, 'ian': 0.0003478611761238426, 'í': 0.0002390812151134014}}",Haiti,-1,yes,-1,"[-85.605166, 30.355644, -80.742567, 35.000771]"
7,2021-09-13T04:43:29.000Z,"🧵 I’m on my way to #Haiti, where almost a month ago a devastating 7.2 earthquake hit the southeast.  More than 12k people were injured, around 2K have died, 53K houses have been destroyed. On top of that, the affected areas could be hit by severe #storms in the coming weeks. https://t.co/vFHlEGZtde",12000,"{'12': {'12': 0.4231690466403961, 'none': 0.11212864518165588, '53': 0.02443970926105976, '3': 0.021737128496170044, '2': 0.01760326325893402}, 'k': {'k': 0.5625541806221008, '000': 0.24195155501365662, 'K': 0.08493298292160034, ',': 0.0433795228600502, '|': 0.01242844108492136}}",2000,"{'2': {'2': 0.16053368151187897, '53': 0.11744894832372665, 'none': 0.050910353660583496, '3': 0.037833359092473984, '12': 0.03753894194960594}, 'k': {'k': 0.8472487926483154, 'K': 0.06137450039386749, '|': 0.056762129068374634, ',': 0.015040467493236065, '.': 0.0034355665557086468}}",Haiti,"{'H': {'H': 0.5230525732040405, 'none': 0.2671491205692291, 'Port': 0.16203412413597107, '#': 0.0034158690832555294, 'Ha': 0.0017860287334769964}, 'ait': {'ait': 0.9976855516433716, 'av': 0.0005518042598851025, 'ai': 0.00014394674508366734, 'ond': 9.588920511305332e-05, 'ain': 7.526429544668645e-05}, 'i': {'i': 0.9974483251571655, 'í': 0.0006251274608075619, 'ian': 0.0005965008167549968, 'ï': 0.0002448034647386521, 'is': 0.00010863086936296895}}",Haiti,-1,yes,-1,"[12.1250835, 41.7410238, 12.3174662, 42.020287]"
8,2021-09-08T15:12:19.000Z,One dead from a 7.4 #earthquake near #PuebloMadero #Mexico and felt for miles. My condolences to the family. I hope there are no more casualties. #snapmap https://t.co/0wgTBVtXTf,1,"{'1': {'1': 0.584211528301239, 'none': 0.18672522902488708, 'one': 0.0754438117146492, 'yes': 0.01462545059621334, '0': 0.013008144684135914}}",-1,"{'none': {'none': 0.20043393969535828, '4000': 0.05067763850092888, '4': 0.04334688186645508, '400': 0.038855891674757004, '5000': 0.034023355692625046}}",Pueblo Madero,"{'P': {'P': 0.609017014503479, 'none': 0.27882832288742065, 'Mexico': 0.021002860739827156, 'Mad': 0.015608001500368118, 'None': 0.004233784042298794}, 'uebl': {'uebl': 0.9983415603637695, 'u': 0.0005351787549443543, 'ue': 0.0002488812315277755, 'uer': 7.356914284173399e-05, 'obl': 5.467194932862185e-05}, 'o': {'o': 0.9745800495147705, 'a': 0.022919926792383194, 'os': 0.0006604272057302296, 'ito': 0.00041328478255309165, 'od': 0.0001791457034414634}, ' Mad': {' Mad': 0.6345197558403015, '|': 0.13509704172611237, ' de': 0.07231223583221436, 'Mad': 0.04668829217553139, ' M': 0.01527635008096695}, 'ero': {'ero': 0.9901289343833923, 'er': 0.004110152833163738, 're': 0.0035709626972675323, 'era': 0.0007722748559899628, 'eros': 0.0004539969377219677}}",Mexico,-1,yes,-1,"[-115.384091, 36.129459, -115.062159, 36.336371]"
9,2021-08-29T21:48:28.000Z,"As tough as #Hurricane_Ida is for Louisiana, I feel that listening to @bbc5live and stories of trampolines lifting and loss of power, how much air time did @BBCWorld @BBCNews give to #Haitiearthquake2021 ? Check the death toll and damage! https://t.co/0leHHaivXJ",1,"{'none': {'none': 0.20960824191570282, '400': 0.02542836405336857, '6': 0.02523047849535942, '4': 0.023887736722826958, '20': 0.023517390713095665}}",-1,"{'none': {'none': 0.17566616833209991, 'H': 0.03828843683004379, '4': 0.03653508052229881, '400': 0.03174222633242607, '5': 0.024914760142564774}}",,"{'none': {'none': 0.4816887080669403, 'H': 0.22753365337848663, 'Louis': 0.05935569480061531, 'New': 0.04695421829819679, 'Port': 0.023063138127326965}}",Haiti,-1,yes,-1,"[-0.39216, 51.391383, -0.221832, 51.489646]"
