,time,text,deaths,death_score,injuries,injury_score,city,city_score,country,country_score,earthquake,earthquake_score,tweet_loc
0,2021-10-07T03:34:13.000Z,"The death toll was expected to rise as officials search through the remote mountainous area, said Suhail Anwar Shaheen, the deputy commissioner of the area.\n#earthquake https://t.co/aBBefq2v5v",-1,"{'none': {'none': 0.202976793050766, '400': 0.033135052770376205, '4': 0.030644912272691727, '6': 0.029935022816061974, '4000': 0.026624761521816254}}",4000,"{'4000': {'4000': 0.10223060846328735, '4': 0.07777294516563416, 'none': 0.07026200741529465, '400': 0.044313691556453705, '5000': 0.03318941965699196}}",,"{'none': {'none': 0.21200554072856903, 'K': 0.07922068983316422, 'S': 0.03921708092093468, 'M': 0.02869183011353016, 'Ch': 0.028247004374861717}}",,-1,yes,-1,"[60.878613, 23.56037, 75.382124, 36.913557]"
1,2021-10-07T00:24:46.000Z,Emergency situations in Harnai  Balochistan\nSeveral dead and hundreds are injured.Need help from provincial government\n@jam_kamal \n@PDMABalochistan \n #earthquake https://t.co/Nw40UudhUJ,-1,"{'none': {'none': 0.17005103826522827, '400': 0.07428979873657227, '4': 0.046853985637426376, '5': 0.03454796224832535, '300': 0.03025120683014393}}",400,"{'400': {'400': 0.14831799268722534, 'none': 0.06581571698188782, '300': 0.05585706979036331, '500': 0.038389965891838074, '4': 0.028086697682738304}}",Harnai,"{'H': {'H': 0.7783988118171692, 'none': 0.09591755270957947, 'Bal': 0.04898989573121071, 'K': 0.004247376695275307, 'N': 0.002657940611243248}, 'arn': {'arn': 0.9903316497802734, 'arna': 0.0013770106015726924, 'orn': 0.0007907506078481674, 'ang': 0.0004758821160066873, 'ann': 0.00035641921567730606}, 'ai': {'ai': 0.9904671311378479, 'i': 0.003103565890341997, 'ais': 0.001159717794507742, 'ain': 0.0008096134988591075, 'ay': 0.000725732883438468}}",Balochistan,-1,yes,-1,"[60.878613, 24.885104, 70.248871, 32.075554]"
2,2021-10-04T11:15:26.000Z,"RT @TODAYshow: The U.S. death toll from COVID-19 has surpassed 700,000, and even though cases are declining, experts are still advising caution, and already warning about the holiday season. @Miguelnbc reports. https://t.co/hhim015oGs #FoxNews #foxandfriends",700000,"{'700': {'700': 0.7700156569480896, 'none': 0.06834276765584946, '7': 0.030326921492815018, 'yes': 0.014780161902308464, '70': 0.013352762907743454}, '000': {'000': 0.7384985089302063, ',': 0.16478128731250763, '|': 0.04795408993959427, 'k': 0.02127949707210064, 'K': 0.00880158320069313}}",40000,"{'4': {'4': 0.11730249226093292, 'none': 0.11638963222503662, '4000': 0.09955333918333054, '5000': 0.033086687326431274, '400': 0.02742982842028141}, '0000': {'0000': 0.7512955069541931, '000000': 0.11521489918231964, '|': 0.037993840873241425, '200': 0.025309352204203606, '0000000': 0.012726342305541039}}",,"{'none': {'none': 0.2759529650211334, 'New': 0.16477903723716736, 'USA': 0.15003302693367004, 'NY': 0.029774965718388557, 'Washington': 0.026899438351392746}}",USA,-1,yes,-1,"[-82.515067, 42.999457, -82.435668, 43.083925]"
3,2021-09-23T16:52:22.000Z,"@steffaniodaniel @FAIRImmigration @BreitbartNews 8/21 Haiti was hit by an earthquake leaving 2,200 dead, 10K homeless. 1week later a Hurricane, killing 14,caused 500mil in damage. 1month b4 they're Pres was killed leaving the isle lawless. Those are refugees fleeing death &amp; devastation, they have nothing left to go back to.",14,"{'14': {'14': 0.29872503876686096, '2': 0.1525738388299942, 'none': 0.09850907325744629, '8': 0.05482855066657066, '10': 0.031485386192798615}}",500000,"{'500': {'500': 0.30266159772872925, 'none': 0.0982598289847374, '2': 0.07359321415424347, '10': 0.06393889337778091, '5000': 0.056868426501750946}, '000': {'000': 0.507292628288269, '|': 0.19557872414588928, 'mil': 0.16214045882225037, ',': 0.03452169522643089, 'M': 0.026676299050450325}}",Haiti,"{'H': {'H': 0.6809720993041992, 'Port': 0.10774543881416321, 'none': 0.10443045943975449, 'New': 0.006470615975558758, 'Ha': 0.004884277004748583}, 'ait': {'ait': 0.9964788556098938, 'av': 0.0012227505212649703, 'ai': 0.000281493179500103, 'ond': 0.00015667453408241272, 'ain': 0.00014154364180285484}, 'i': {'i': 0.9972341656684875, 'I': 0.00036455533700063825, 'is': 0.0003561104240361601, 'ian': 0.0003478611761238426, 'í': 0.0002390812151134014}}",Haiti,-1,yes,-1,"[-85.605166, 30.355644, -80.742567, 35.000771]"
4,2021-09-13T04:43:29.000Z,"🧵 I’m on my way to #Haiti, where almost a month ago a devastating 7.2 earthquake hit the southeast.  More than 12k people were injured, around 2K have died, 53K houses have been destroyed. On top of that, the affected areas could be hit by severe #storms in the coming weeks. https://t.co/vFHlEGZtde",12000,"{'12': {'12': 0.4231690466403961, 'none': 0.11212864518165588, '53': 0.02443970926105976, '3': 0.021737128496170044, '2': 0.01760326325893402}, 'k': {'k': 0.5625541806221008, '000': 0.24195155501365662, 'K': 0.08493298292160034, ',': 0.0433795228600502, '|': 0.01242844108492136}}",2000,"{'2': {'2': 0.16053368151187897, '53': 0.11744894832372665, 'none': 0.050910353660583496, '3': 0.037833359092473984, '12': 0.03753894194960594}, 'k': {'k': 0.8472487926483154, 'K': 0.06137450039386749, '|': 0.056762129068374634, ',': 0.015040467493236065, '.': 0.0034355665557086468}}",Haiti,"{'H': {'H': 0.5230525732040405, 'none': 0.2671491205692291, 'Port': 0.16203412413597107, '#': 0.0034158690832555294, 'Ha': 0.0017860287334769964}, 'ait': {'ait': 0.9976855516433716, 'av': 0.0005518042598851025, 'ai': 0.00014394674508366734, 'ond': 9.588920511305332e-05, 'ain': 7.526429544668645e-05}, 'i': {'i': 0.9974483251571655, 'í': 0.0006251274608075619, 'ian': 0.0005965008167549968, 'ï': 0.0002448034647386521, 'is': 0.00010863086936296895}}",Haiti,-1,yes,-1,"[12.1250835, 41.7410238, 12.3174662, 42.020287]"
5,2021-08-26T23:02:58.000Z,"My question is Why? \nUpdate: 12 Dead, 11 Marines &amp; 1 Corpsman. Many wounded…this didn’t need to happen like this. Please pray for our people still over there. #army #navy #marines #usa @ Miami, Florida https://t.co/tePaW9agVG",12,"{'12': {'12': 0.6979551315307617, 'none': 0.06803550571203232, '11': 0.021576231345534325, '1': 0.01788732409477234, '2': 0.0143728693947196}}",11,"{'11': {'11': 0.3971680998802185, 'none': 0.07759842276573181, '10': 0.0341661237180233, '12': 0.020085226744413376, '5': 0.015888724476099014}}",Miami,"{'Miami': {'Miami': 0.7309771180152893, 'none': 0.0638720691204071, 'USA': 0.02621304616332054, 'Florida': 0.01719093509018421, 'Mar': 0.009568195790052414}}",USA,-1,yes,-1,"[-80.321683, 25.7090404, -80.144974, 25.855667]"
6,2021-08-26T21:34:10.000Z,"More than 2,000 people were killed in the #Haiti earthquake, and thousands more are injured. Over 650,000 Haitians need humanitarian assistance.\n\n#HelpHaiti: Donate to support Humanity &amp; Inclusion's emergency response in the hardest-hit regions at https://t.co/nrYbSCKnYO\n\n🎥 HI https://t.co/Ru6njM0ZkF",-1,"{'none': {'none': 0.3073104918003082, '2': 0.1778576821088791, '650': 0.052574627101421356, '26': 0.02191636525094509, '65': 0.014945663511753082}}",2000,"{'2': {'2': 0.2178446352481842, 'none': 0.1270676553249359, '650': 0.06096772477030754, '65': 0.043913405388593674, '6000': 0.03393365070223808}, ',': {',': 0.6765260696411133, '|': 0.13321587443351746, 'k': 0.0334201343357563, '.': 0.009725812822580338, 'K': 0.009426581673324108}, '000': {'000': 0.8306990265846252, '100': 0.01194221992045641, '500': 0.011757073923945427, '200': 0.009447073563933372, '600': 0.009228233247995377}}",Haiti,"{'H': {'H': 0.7587977647781372, 'none': 0.14036348462104797, 'Port': 0.056711968034505844, 'Ha': 0.0029131511691957712, 'all': 0.0021313067991286516}, 'ait': {'ait': 0.9982448816299438, 'av': 0.0003296820796094835, 'ond': 0.00011663698387565091, 'ai': 0.00010871762788156047, 'ain': 6.750431202817708e-05}, 'i': {'i': 0.9982650876045227, 'ian': 0.00030491227516904473, 'í': 0.00025278114480897784, 'is': 0.0002063139691017568, 'ius': 0.00012710635201074183}}",Haiti,-1,yes,-1,"[-74.4798235, 18.0214258, -71.6284598, 20.0894352]"
7,2021-08-26T16:21:03.000Z,"**** My heart is breaking... 2 Isis Terror Attacks at the Kabul airport. 3 U.S troops injured, many casualties! Issis is now threatening a rocket attack. Plz pray for our troops, our Alli troops and Afghan people.****** DO NOT watch the vid it is very graphic****",2,"{'2': {'2': 0.2239987701177597, 'none': 0.19767822325229645, '3': 0.16388100385665894, '4': 0.030552702024579048, '1': 0.02532907947897911}}",3,"{'3': {'3': 0.26630714535713196, 'none': 0.0956994816660881, '2': 0.0632534921169281, '4': 0.03927498310804367, '5': 0.030827289447188377}}",Kabul,"{'K': {'K': 0.7229160666465759, 'none': 0.11260860413312912, 'Af': 0.061224233359098434, 'N': 0.009389040991663933, 'B': 0.008285799995064735}, 'abul': {'abul': 0.9969629645347595, 'ab': 0.00045713051804341376, 'AB': 0.0003560135664884001, 'af': 0.0002390162117080763, 'hal': 0.00013199729437474161}}",Afghanistan,-1,yes,-1,"[-115.384091, 36.129459, -115.062159, 36.336371]"
8,2021-08-21T15:00:37.000Z,"A week ago today a 7.2-magnitude earthquake rocked #Haiti, killing at least 2,000 people and injuring 12,000 more. 130,000 homes are destroyed.\n\nOur teams are working to provide medical care, logistics support and essential items.\n\nDonate to #HelpHaiti: https://t.co/nrYbSCKnYO https://t.co/HWMBx9wqhe",2000,"{'2': {'2': 0.34606438875198364, 'none': 0.13135123252868652, '12': 0.11411993205547333, '2000': 0.047945376485586166, '4000': 0.01967674307525158}, ',': {',': 0.8717045187950134, '|': 0.06414046883583069, 'k': 0.025513315573334694, 'K': 0.012828901410102844, '.': 0.0017635441618040204}, '000': {'000': 0.955580472946167, '100': 0.0052550737746059895, '001': 0.003288540756329894, '00': 0.0027476788964122534, '0': 0.0018303486285731196}}",12000,"{'12': {'12': 0.8608771562576294, '10': 0.010752511210739613, 'none': 0.009125538170337677, '10000': 0.007744743023067713, '4000': 0.007624671328812838}, ',': {',': 0.6415802836418152, '000': 0.2323649674654007, '0000': 0.09838952124118805, '|': 0.014624296687543392, '00000': 0.003089461475610733}, '000': {'000': 0.9736472964286804, '0000': 0.01187932025641203, '00': 0.004799679387360811, '500': 0.0015340695390477777, '0001': 0.0005138489650562406}}",Haiti,"{'H': {'H': 0.5112775564193726, 'none': 0.2491767853498459, 'Port': 0.20657481253147125, 'Ha': 0.0027681041974574327, 'P': 0.0010925070382654667}, 'ait': {'ait': 0.9978631138801575, 'av': 0.0007543612737208605, 'ai': 0.00015325777349062264, 'ond': 8.664410415804014e-05, 'ut': 3.5837554605677724e-05}, 'i': {'i': 0.9984941482543945, 'ian': 0.0003678788198158145, 'í': 0.0003349574690219015, 'ï': 0.00016324523312505335, 'is': 6.912238313816488e-05}}",Haiti,-1,yes,-1,"[-74.4798235, 18.0214258, -71.6284598, 20.0894352]"
9,2021-08-19T15:39:15.000Z,"#Haiti earthquake death toll rises to 2,189, over 12,000 injured &amp; more than 1.2m people impacted by disaster that struck the country last weekend https://t.co/o4JB3GpMT3",2189,"{'2': {'2': 0.5048589706420898, 'none': 0.1091834157705307, '12': 0.04209395498037338, '22': 0.020355306565761566, '20': 0.0198837760835886}, '189': {'189': 0.9672064781188965, ',': 0.008769563399255276, '190': 0.005075433757156134, '187': 0.0037717418745160103, '188': 0.002360295969992876}}",120000,"{'12': {'12': 0.7926023006439209, 'over': 0.027764521539211273, 'none': 0.015453285537660122, 'more': 0.013744436204433441, '10000': 0.009899746626615524}, '0000': {'0000': 0.6899747848510742, '000': 0.20395615696907043, '00000': 0.06318267434835434, '2000': 0.009173717349767685, '1000': 0.005435247905552387}}",Haiti,"{'H': {'H': 0.5724015831947327, 'none': 0.23861248791217804, 'Port': 0.1470048874616623, '#': 0.00269248872064054, 'Ha': 0.002267302479594946}, 'ait': {'ait': 0.9952793121337891, 'av': 0.001749400864355266, 'ai': 0.0003391368081793189, 'ond': 0.00014700494648423046, 'ou': 9.946851787390187e-05}, 'i': {'i': 0.9969785213470459, 'ian': 0.0012820742558687925, 'í': 0.0002883130800910294, 'ï': 0.00019508237892296165, 'ip': 0.00012303692346904427}}",Haiti,-1,yes,-1,"[35.59812591978788, -0.17524245127580623, 35.59812591978788, -0.17524245127580623]"
