,time,text
0,2021-10-08T23:54:39.000Z,"@LeeGough @carolduncan Your dad’s story was remarkable. Australians have endured two years of tough living conditions - an extreme fire season, dust storms, the pandemic and flooding. https://t.co/cg5CyOS7CZ"
1,2021-10-08T23:10:44.000Z,It’s I smell like a fire pit season
2,2021-10-08T23:10:08.000Z,Then the sick man of Europe once again will this time be making a humanitarian emergency application to join the EFTA.\n\nMy only hope is the economy isn’t too far in the dustbin for the recovery to take too long…
3,2021-10-08T23:04:07.000Z,This season is now over… and we don’t even get a good draft pick because Pete traded every pick for the next 20 years away! I hate football and fire Pete please https://t.co/KJwcAVoj4Y
4,2021-10-08T22:56:03.000Z,Whitman-Hanson Volleyball team on 🔥  fire this season...a great game to watch..highly recommended! @WHathletics @DrCSJones #whpantherpride @ https://t.co/bRnc0tYyiQ
5,2021-10-08T22:26:32.000Z,Last fire of the season… 😢 https://t.co/KoOSgFJH69
6,2021-10-08T21:54:10.000Z,"This is where it's at, killer day at #trailhero \n\n@trail.hero #teamyukon #jeep #jeepnation #jeeplife #wheeling #desert #dunes  #gravytrain #offroad #rockcrawling #supercrawl #sandhollow #utah #hurricane #cars https://t.co/ymkRmYgH9u"
7,2021-10-08T21:47:36.000Z,So terrible. Seems like we see another crash every other day. Pray for the people 🙏 https://t.co/cj1HTdezIS
8,2021-10-08T21:39:13.000Z,"@zaritarazi phil taking 100 episodes to make an actually good show, the true slow burn\n\nphil: to you clowns who stuck with us since season 2, you may have one good episode, as a treat."
9,2021-10-08T21:29:03.000Z,"On this date in 2016, this was the scene in and around Williams-Brice due to Hurricane Matthew. Fortunately, there was no major damage. USC would host Georgia the following day, which was a rare Sunday game in Columbia. https://t.co/m8MaTVchlc"
10,2021-10-08T21:19:35.000Z,"@RapSheet Wilson camp [wife, agent…] must be talking rn… do they sit out the season and heal AND wait for a coaching change OR do they rush back to play, risk permanent damage to throwing hand on a bad team not likely to win the division or make the playoffs?"
11,2021-10-08T20:37:21.000Z,@OyerepaSports This coming  GPL season will be fire
12,2021-10-08T20:02:01.000Z,It’s a pretty day for Fleet Week Friday Parade of Ships with @SFPort and Humanitarian Assistance Village. @SF_emergency and @SFFDPIO are here to educate and support the public. https://t.co/RRoblKS31f
13,2021-10-08T19:26:18.000Z,"The fall season calls for s’more cozy vibes. \n\nFinish off your dining experience at @BarrysPrime with their unique Campfire S’mores, lit on fire tableside. 🔥 \n\nA fun and delicious experience awaits. 😋\n\n#CircaLasVegas #BarrysDowntownPrime #VegasEats https://t.co/oKdWrgxLYT"
14,2021-10-08T19:25:10.000Z,"Have you’re having a bet on @Tyson_Fury v @BronzeBomber then here’s a bit of advice from our next golden girl of boxing @BoxerHopewell \n\n#ff #follow @BoxerHopewell for more updates, fight news, and future fights🥊\n\n#FuryWilder3 #Hurricane #Hurricane #TeamHopewell https://t.co/8eOJow7CTt"
