,time,text,deaths,death_score,injuries,injury_score,location,tweet_loc
0,2021-10-08T16:32:06.000Z,"Today is the 16th anniversary of 2005 Kashmir #earthquake\n\nThere can't be a bigger tragedy than this earthquake which resulted in the death of more than 70,000 people. https://t.co/1tKIOpTcns",70000,0.29899683594703674,-1,0.2886579930782318,2005 Kashmir,"[69.328873, 27.708226, 75.382124, 34.019989]"
1,2021-10-07T00:50:56.000Z,#Earthquake 5.88 magnitude in #Balochistan.\nMy sincere #Prayers\n Up to 20 ppl thought to have been killed. Several houses destroyed. https://t.co/P0XeyOZWkw,20,0.8348501324653625,-1,0.05042869225144386,Balochistan,"[69.328873, 27.708226, 75.382124, 34.019989]"
2,2021-10-04T20:52:05.000Z,"JUST IN: Over this past year, there have been over 160 search and rescue operations, according to Chief Ranger Daniel Fagergren. \n“We’ve had a total of five fatalities, just in the last four months. And so it’s been one for the record books for sure.” \nhttps://t.co/qQZvtBvtwI",5,0.8224045038223267,5,0.15003040432929993,five fatalities,"[-109.050173, 31.332176, -103.002065, 37.000294]"
3,2021-10-04T11:15:26.000Z,"RT @TODAYshow: The U.S. death toll from COVID-19 has surpassed 700,000, and even though cases are declining, experts are still advising caution, and already warning about the holiday season. @Miguelnbc reports. https://t.co/hhim015oGs #FoxNews #foxandfriends",700000,0.015418609604239464,-1,0.01157916896045208,hhim015oGs,"[-82.515067, 42.999457, -82.435668, 43.083925]"
4,2021-09-23T16:52:22.000Z,"@steffaniodaniel @FAIRImmigration @BreitbartNews 8/21 Haiti was hit by an earthquake leaving 2,200 dead, 10K homeless. 1week later a Hurricane, killing 14,caused 500mil in damage. 1month b4 they're Pres was killed leaving the isle lawless. Those are refugees fleeing death &amp; devastation, they have nothing left to go back to.",2200,0.6827093958854675,2200,0.053215499967336655,Haiti,"[-85.605166, 30.355644, -80.742567, 35.000771]"
5,2021-09-08T15:12:19.000Z,One dead from a 7.4 #earthquake near #PuebloMadero #Mexico and felt for miles. My condolences to the family. I hope there are no more casualties. #snapmap https://t.co/0wgTBVtXTf,1,0.10828601568937302,-1,0.016764365136623383,Mexico,"[-115.384091, 36.129459, -115.062159, 36.336371]"
6,2021-08-28T01:14:20.000Z,The death toll in Kabul bombing rises to 170 which includes innocent women and children who were merely trying to get away from monstrous TB and live a Life. \nPlease pray for them and a peaceful neighborhood... \n#FarmersProtest,170,0.3374250829219818,-1,0.0390058234333992,Kabul,"[76.167294, 30.072684, 76.654115, 30.448265]"
7,2021-08-26T23:02:58.000Z,"My question is Why? \nUpdate: 12 Dead, 11 Marines &amp; 1 Corpsman. Many wounded…this didn’t need to happen like this. Please pray for our people still over there. #army #navy #marines #usa @ Miami, Florida https://t.co/tePaW9agVG",12,0.07677032798528671,-1,0.027398239821195602,"Miami, Florida","[-80.321683, 25.7090404, -80.144974, 25.855667]"
8,2021-08-26T18:03:36.000Z,Fox News reporting US military death toll now up to 10. Pray for our country.,10,0.8488258123397827,-1,0.10164430737495422,our country.,"[-83.67529, 36.540739, -75.16644, 39.466012]"
9,2021-08-21T15:00:37.000Z,"A week ago today a 7.2-magnitude earthquake rocked #Haiti, killing at least 2,000 people and injuring 12,000 more. 130,000 homes are destroyed.\n\nOur teams are working to provide medical care, logistics support and essential items.\n\nDonate to #HelpHaiti: https://t.co/nrYbSCKnYO https://t.co/HWMBx9wqhe",2000,0.013062890619039536,12000,0.3929111361503601,Haiti,"[-74.4798235, 18.0214258, -71.6284598, 20.0894352]"
10,2021-08-19T15:39:15.000Z,"#Haiti earthquake death toll rises to 2,189, over 12,000 injured &amp; more than 1.2m people impacted by disaster that struck the country last weekend https://t.co/o4JB3GpMT3",2189,0.017190715298056602,12000,0.20025452971458435,Haiti,"[35.59812591978788, -0.17524245127580623, 35.59812591978788, -0.17524245127580623]"
