,time,text,deaths,death_score,injuries,injury_score,location,location_score
0,2022-07-27T01:28:48Z,"Strong quake kills 2, injures dozens in northern PhilippinesMANILA, Philippines (AP) A strong earthquake left at least two people dead and injured dozens in the northern Philippines on Wednesday, where the temblor set off small landslides and damaged building… [+3080 chars]",2,"{'2': {'2': 0.705512523651123, 'none': 0.07436046749353409, 'two': 0.036524638533592224, ' 2': 0.012426882982254028, '1': 0.009163008071482182}}",-1,"{'none': {'none': 0.15849566459655762, '40': 0.1303749829530716, '50': 0.0815865769982338, '30': 0.06816814094781876, '60': 0.03401034697890282}}",Philippines,"{'Philipp': {'Philipp': 0.6078819632530212, 'Northern': 0.03650614991784096, 'Man': 0.033239226788282394, '\n': 0.03122536465525627, 'The': 0.02979544922709465}, 'ines': {'ines': 0.9956910014152527, 'ine': 0.0033734533935785294, 'i': 0.00021565765200648457, 'in': 0.00013923905498813838, 'ina': 0.00010347367060603574}}"
1,2022-07-27T01:28:13Z,"Strong earthquake kills 4, injures dozens in northern PhilippinesMANILA, Philippines (AP) A strong earthquake set off landslides and damaged buildings in the northern Philippines in Wednesday, killing at least four people and injuring dozens. In the capital, hospi… [+3483 chars]",4,"{'4': {'4': 0.7367388010025024, 'none': 0.02295379899442196, 'four': 0.020099017769098282, ' 4': 0.016150014474987984, '40': 0.01459032017737627}}",40,"{'40': {'40': 0.10265924781560898, 'none': 0.09202314913272858, '50': 0.08184708654880524, '30': 0.042794737964868546, '12': 0.029412366449832916}}",Philippines,"{'Philipp': {'Philipp': 0.5929290652275085, 'Man': 0.05345417559146881, 'n': 0.05345417559146881, 'Northern': 0.034512609243392944, '\n': 0.03022025153040886}, 'ines': {'ines': 0.9915342926979065, 'ine': 0.006786114536225796, 'i': 0.0005747204995714128, 'ina': 0.00015959411393851042, 'in': 0.0001441812637494877}}"
2,2022-07-27T02:58:00Z,"Strong quake shakes northern Philippines, damages buildings - World News - Castanet.netA strong earthquake shook the northern Philippines on Wednesday, injuring at least one person, damaging buildings and prompting many people in the capital to run outdoors.
The 7 magnitude quake was … [+1636 chars]",1,"{'1': {'1': 0.4482943117618561, 'none': 0.132515549659729, 'one': 0.07433447986841202, 'in': 0.03003384731709957, ' 1': 0.014867833815515041}}",-1,"{'none': {'none': 0.22670485079288483, 'Philipp': 0.05259975418448448, '0': 0.03878462687134743, '4000': 0.029737204313278198, '1000': 0.025041235610842705}}",Philippines,"{'Philipp': {'Philipp': 0.537208616733551, 'The': 0.04078284651041031, 'Northern': 0.03434259817004204, 'Man': 0.03078450821340084, '\n': 0.027811486274003983}, 'ines': {'ines': 0.9948166012763977, 'ine': 0.004395949188619852, 'in': 0.00014808903506491333, 'i': 0.00014353280130308121, 'ina': 8.912155317375436e-05}}"
3,2022-07-27T02:57:52Z,"Strong quake shakes northern Philippines, damages buildingsA strong earthquake shook the northern Philippines on Wednesday, injuring at least one person, damaging buildings and prompting many people in the capital to run outdoors.
The 7 magnitude quake was … [+1626 chars]",1,"{'1': {'1': 0.47119414806365967, 'none': 0.12881730496883392, 'one': 0.06788195669651031, 'in': 0.028297407552599907, ' 1': 0.01574987731873989}}",-1,"{'none': {'none': 0.22047309577465057, 'Philipp': 0.06316660344600677, '0': 0.04078342393040657, '4000': 0.024736395105719566, '1000': 0.02416337840259075}}",Philippines,"{'Philipp': {'Philipp': 0.5287042856216431, 'The': 0.04173611104488373, 'Man': 0.03982487693428993, 'Northern': 0.037120867520570755, '\n': 0.018376164138317108}, 'ines': {'ines': 0.9947392344474792, 'ine': 0.004464827943593264, 'i': 0.00016519241034984589, 'in': 0.0001613657223060727, 'ina': 8.050834730966017e-05}}"
4,2022-07-27T04:51:51Z,"Quake shakes Philippines, damages buildings: ‘I thought the ground would open up’MANILA, Philippines A strong earthquake shook the northern Philippines on Wednesday, injuring at least one person, damaging buildings and prompting many people in the capital to run outdoors.
The ma… [+1764 chars]",1,"{'1': {'1': 0.5318726897239685, 'none': 0.12054572999477386, 'one': 0.07142098248004913, 'in': 0.019073104485869408, ' 1': 0.012508447282016277}}",-1,"{'none': {'none': 0.23490671813488007, '4000': 0.06032903492450714, '0': 0.046618666499853134, '5000': 0.027837274596095085, '1': 0.02677084505558014}}",Philippines,"{'Philipp': {'Philipp': 0.6190215349197388, 'Man': 0.16148142516613007, 'The': 0.03204696998000145, '\n': 0.015496902167797089, 'PH': 0.010404127649962902}, 'ines': {'ines': 0.9943678975105286, 'ine': 0.004063754342496395, 'i': 0.0004704137099906802, 'in': 0.0002517942921258509, 'ina': 0.0001445933012291789}}"
5,2022-07-27T05:10:48Z,"Strong quake kills 2, injures dozens in northern PhilippinesMANILA, Philippines (AP) A strong earthquake left at least two people dead and injured dozens in the northern Philippines on Wednesday, where the temblor set off small landslides and damaged building… [+2656 chars]",2,"{'2': {'2': 0.7066846489906311, 'none': 0.0739043727517128, 'two': 0.0371614508330822, ' 2': 0.012742712162435055, '1': 0.008689775131642818}}",-1,"{'none': {'none': 0.1607079654932022, '40': 0.12130873650312424, '50': 0.07357747107744217, '30': 0.052583444863557816, 'do': 0.03557973727583885}}",Philippines,"{'Philipp': {'Philipp': 0.612311840057373, 'Northern': 0.0362020842730999, 'Man': 0.033744052052497864, '\n': 0.030965283513069153, 'The': 0.029547279700636864}, 'ines': {'ines': 0.9956877827644348, 'ine': 0.0033734426833689213, 'i': 0.0002225026546511799, 'in': 0.00013601314276456833, 'ina': 0.00010107638809131458}}"
6,2022-07-27T05:32:33Z,"Strong quake kills 2, injures dozens in northern Philippines - ABC NewsThe Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.",2,"{'2': {'2': 0.37011227011680603, 'none': 0.19810684025287628, '42': 0.023846058174967766, '12': 0.021543115377426147, '40': 0.016009487211704254}}",-1,"{'none': {'none': 0.23818202316761017, '50': 0.09698901325464249, '40': 0.08900212496519089, '30': 0.04992566257715225, 'do': 0.03949445113539696}}",Philippines,"{'Philipp': {'Philipp': 0.4789479076862335, 'Northern': 0.07118925452232361, 'The': 0.05948084220290184, '\n': 0.036645084619522095, 'n': 0.03284844383597374}, 'ines': {'ines': 0.9969798922538757, 'ine': 0.00275689666159451, 'in': 4.352882751845755e-05, 'i': 3.841405487037264e-05, 'ina': 3.470420779194683e-05}}"
7,2022-07-27T05:43:47Z,"Deadly quake rattles northern PhilippinesA strong earthquake has left at least two people dead and injured dozens more in the northern Philippines.
The tremor set off small landslides and damaged buildings, prompting terrified crowds and h… [+2867 chars]",2,"{'2': {'2': 0.5754517912864685, 'none': 0.07035774737596512, 'two': 0.06661337614059448, '1': 0.014072434976696968, '0': 0.009447786025702953}}",-1,"{'none': {'none': 0.11266336590051651, '40': 0.10834730416536331, '50': 0.0884304866194725, '30': 0.04343559965491295, '45': 0.03128548711538315}}",Philippines,"{'Philipp': {'Philipp': 0.5877779126167297, 'Northern': 0.052989788353443146, 'The': 0.0412684865295887, 'n': 0.022262681275606155, '\n': 0.021409809589385986}, 'ines': {'ines': 0.9953141212463379, 'ine': 0.003881351090967655, 'i': 0.0001759480219334364, 'in': 0.00013918636250309646, 'ina': 0.00011449157318565995}}"
8,2022-07-27T05:52:02Z,"Powerful earthquake hits northern PhilippinesA 7.0-magnitude earthquake hit the northern Philippines Wednesday, authorities said, killing one person, shattering windows at the epicenter and shaking high-rise towers more than 185 miles away in t… [+1728 chars]",1,"{'1': {'1': 0.5480943918228149, 'none': 0.1364315003156662, 'one': 0.09903863817453384, ' 1': 0.010438594967126846, '0': 0.0048543973825871944}}",-1,"{'none': {'none': 0.24615219235420227, '185': 0.058924827724695206, '5000': 0.0346401184797287, '0': 0.027834119275212288, '18': 0.016882246360182762}}",Philippines,"{'Philipp': {'Philipp': 0.5198410153388977, 'Northern': 0.05653008446097374, '\n': 0.04613851010799408, 'The': 0.042339079082012177, 'PH': 0.020473839715123177}, 'ines': {'ines': 0.9954018592834473, 'ine': 0.0038816933520138264, 'i': 0.00015287977294065058, 'in': 0.00012974737910553813, 'ina': 9.948077058652416e-05}}"
9,2022-07-27T05:52:25Z,"Strong quake kills 2, injures dozens in northern Philippines - The Associated Press - en EspañolThe Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.",2,"{'2': {'2': 0.34776583313941956, 'none': 0.16046757996082306, '42': 0.023481594398617744, '12': 0.02275914140045643, '40': 0.018867990002036095}}",-1,"{'none': {'none': 0.17036029696464539, '50': 0.12270592898130417, '40': 0.09556346386671066, '30': 0.055307891219854355, 'do': 0.04919186234474182}}",Philippines,"{'Philipp': {'Philipp': 0.4818505346775055, 'Northern': 0.06572283804416656, 'The': 0.04770966246724129, '\n': 0.04481907933950424, 'n': 0.027184147387742996}, 'ines': {'ines': 0.9968223571777344, 'ine': 0.00275646080262959, 'ina': 6.636304897256196e-05, 'in': 6.43212697468698e-05, 'inas': 5.995401443215087e-05}}"
