,time,text,deaths,death_score,injuries,injury_score,city,city_score,country,country_score,earthquake,earthquake_score
0,2022-07-27T01:28:48Z,"Strong quake kills 2, injures dozens in northern PhilippinesMANILA, Philippines (AP) A strong earthquake left at least two people dead and injured dozens in the northern Philippines on Wednesday, where the temblor set off small landslides and damaged building… [+3080 chars]",2,"{'2': {'2': 0.7808619141578674, 'two': 0.05397512763738632, 'none': 0.04474695026874542, '1': 0.011402536183595657, 'yes': 0.008149025030434132}}",40,"{'40': {'40': 0.1499226838350296, 'none': 0.12236333638429642, '50': 0.10466290265321732, '30': 0.07657302170991898, '60': 0.035057682543992996}}",Manila,"{'Man': {'Man': 0.3934363126754761, 'none': 0.1887727975845337, 'Philipp': 0.06422670930624008, 'B': 0.043457966297864914, 'M': 0.023999767377972603}, 'ila': {'ila': 0.9711241126060486, 'illa': 0.02145492471754551, 'il': 0.0019956189207732677, 'ilan': 0.0005205883062444627, 'ag': 0.00045941758435219526}}",Philippines,-1,yes,-1
1,2022-07-27T01:28:13Z,"Strong earthquake kills 4, injures dozens in northern PhilippinesMANILA, Philippines (AP) A strong earthquake set off landslides and damaged buildings in the northern Philippines in Wednesday, killing at least four people and injuring dozens. In the capital, hospi… [+3483 chars]",4,"{'4': {'4': 0.8060837984085083, 'four': 0.03327105566859245, 'none': 0.026114750653505325, 'yes': 0.016215015202760696, '3': 0.008747344836592674}}",40,"{'40': {'40': 0.12814711034297943, '50': 0.10875704884529114, 'none': 0.08536438643932343, '30': 0.044983871281147, '45': 0.022975513711571693}}",Manila,"{'Man': {'Man': 0.7613429427146912, 'none': 0.07193110883235931, 'Philipp': 0.033977851271629333, 'B': 0.012499752454459667, 'C': 0.010202000848948956}, 'ila': {'ila': 0.975536584854126, 'illa': 0.019623691216111183, 'il': 0.0016361774178221822, 'ille': 0.0002670986286830157, 'ilan': 0.00026295764837414026}}",Philippines,-1,yes,-1
2,2022-07-27T02:58:00Z,"Strong quake shakes northern Philippines, damages buildings - World News - Castanet.netA strong earthquake shook the northern Philippines on Wednesday, injuring at least one person, damaging buildings and prompting many people in the capital to run outdoors.
The 7 magnitude quake was … [+1636 chars]",1,"{'1': {'1': 0.5587685108184814, 'none': 0.08980226516723633, 'one': 0.0756210908293724, 'yes': 0.04550957307219505, '0': 0.016226937994360924}}",-1,"{'none': {'none': 0.17968060076236725, '1': 0.10562877357006073, 'Philipp': 0.039780162274837494, '0': 0.030263150110840797, 'yes': 0.029793962836265564}}",Manila,"{'Man': {'Man': 0.3896133005619049, 'none': 0.14333073794841766, 'Philipp': 0.09698241949081421, 'B': 0.03404403105378151, 'C': 0.03198140487074852}, 'ila': {'ila': 0.9398042559623718, 'illa': 0.057328421622514725, 'il': 0.00041118855006061494, 'ille': 0.00039235883741639555, 'ag': 0.0003862758749164641}}",Philippines,-1,yes,-1
3,2022-07-27T02:57:52Z,"Strong quake shakes northern Philippines, damages buildingsA strong earthquake shook the northern Philippines on Wednesday, injuring at least one person, damaging buildings and prompting many people in the capital to run outdoors.
The 7 magnitude quake was … [+1626 chars]",1,"{'1': {'1': 0.5890001058578491, 'none': 0.08224283903837204, 'one': 0.07971248775720596, 'yes': 0.03824647516012192, '0': 0.01474532950669527}}",-1,"{'none': {'none': 0.16985349357128143, '1': 0.10796544700860977, 'Philipp': 0.05514335259795189, 'yes': 0.03191452473402023, '0': 0.030691899359226227}}",Manila,"{'Man': {'Man': 0.5351862907409668, 'Philipp': 0.08874257653951645, 'none': 0.06804129481315613, 'Metro': 0.03421331197023392, 'B': 0.033160679042339325}, 'ila': {'ila': 0.9158958792686462, 'illa': 0.08129037916660309, 'ille': 0.00044011365389451385, 'il': 0.00037061283364892006, 'ag': 0.00029317892040126026}}",Philippines,-1,yes,-1
4,2022-07-27T04:51:51Z,"Quake shakes Philippines, damages buildings: ‘I thought the ground would open up’MANILA, Philippines A strong earthquake shook the northern Philippines on Wednesday, injuring at least one person, damaging buildings and prompting many people in the capital to run outdoors.
The ma… [+1764 chars]",1,"{'1': {'1': 0.5867961049079895, 'none': 0.09579183906316757, 'one': 0.06431159377098083, 'yes': 0.032591529190540314, '0': 0.01857009157538414}}",-1,"{'none': {'none': 0.1507219672203064, '1': 0.08130840212106705, 'Philipp': 0.04931604117155075, 'yes': 0.0336306169629097, 'Man': 0.03310922160744667}}",Manila,"{'Man': {'Man': 0.6416667699813843, 'Philipp': 0.17270226776599884, 'none': 0.0615788958966732, 'Ph': 0.00936993956565857, 'Metro': 0.008733744733035564}, 'ila': {'ila': 0.9754081964492798, 'illa': 0.020886562764644623, 'il': 0.0012348889140412211, 'ille': 0.0005833202158100903, 'ag': 0.00019235860963817686}}",Philippines,-1,yes,-1
5,2022-07-27T05:10:48Z,"Strong quake kills 2, injures dozens in northern PhilippinesMANILA, Philippines (AP) A strong earthquake left at least two people dead and injured dozens in the northern Philippines on Wednesday, where the temblor set off small landslides and damaged building… [+2656 chars]",2,"{'2': {'2': 0.7808400392532349, 'two': 0.053973615169525146, 'none': 0.04545033723115921, '1': 0.010965405032038689, 'yes': 0.008674349635839462}}",40,"{'40': {'40': 0.13781042397022247, 'none': 0.1294609159231186, '50': 0.09471563249826431, '30': 0.059736400842666626, '60': 0.03197459131479263}}",Manila,"{'Man': {'Man': 0.3863149881362915, 'none': 0.19123977422714233, 'Philipp': 0.05832483619451523, 'B': 0.04613874480128288, 'M': 0.024313410744071007}, 'ila': {'ila': 0.9702271223068237, 'illa': 0.02211553230881691, 'il': 0.0019628650043159723, 'ilan': 0.0005282979691401124, 'ag': 0.0005120440036989748}}",Philippines,-1,yes,-1
6,2022-07-27T05:32:33Z,"Strong quake kills 2, injures dozens in northern Philippines - ABC NewsThe Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.",2,"{'2': {'2': 0.41521796584129333, 'none': 0.22575008869171143, '1': 0.015124313533306122, '3': 0.01454490888863802, '42': 0.013451843522489071}}",-1,"{'none': {'none': 0.22569531202316284, '50': 0.10015168786048889, '40': 0.09859897941350937, '30': 0.045495953410863876, '12': 0.028029242530465126}}",,"{'none': {'none': 0.2748095393180847, 'Philipp': 0.12581698596477509, 'Man': 0.06948273628950119, 'B': 0.0603676438331604, 'C': 0.025362350046634674}}",Philippines,-1,yes,-1
7,2022-07-27T05:43:47Z,"Deadly quake rattles northern PhilippinesA strong earthquake has left at least two people dead and injured dozens more in the northern Philippines.
The tremor set off small landslides and damaged buildings, prompting terrified crowds and h… [+2867 chars]",2,"{'2': {'2': 0.5935792326927185, 'two': 0.0803322121500969, 'none': 0.06979383528232574, '1': 0.02095591090619564, 'yes': 0.014402773231267929}}",40,"{'40': {'40': 0.12227779626846313, 'none': 0.0944889560341835, '50': 0.07711963355541229, '30': 0.04225807636976242, '45': 0.023890549317002296}}",,"{'none': {'none': 0.2508012354373932, 'Man': 0.1474384367465973, 'B': 0.07413670420646667, 'Philipp': 0.07074173539876938, 'L': 0.03846161812543869}}",Philippines,-1,yes,-1
8,2022-07-27T05:52:02Z,"Powerful earthquake hits northern PhilippinesA 7.0-magnitude earthquake hit the northern Philippines Wednesday, authorities said, killing one person, shattering windows at the epicenter and shaking high-rise towers more than 185 miles away in t… [+1728 chars]",1,"{'1': {'1': 0.5753018260002136, 'one': 0.10979828238487244, 'none': 0.08961474895477295, 'yes': 0.0539311021566391, 'no': 0.01497612614184618}}",-1,"{'none': {'none': 0.15043234825134277, '4': 0.03833356499671936, 'yes': 0.03032434731721878, '1': 0.024557404220104218, '3': 0.02436629869043827}}",,"{'none': {'none': 0.207452654838562, 'Philipp': 0.18023799359798431, 'Man': 0.09205655753612518, 'B': 0.06948793679475784, 'M': 0.025965746492147446}}",Philippines,-1,yes,-1
9,2022-07-27T05:52:25Z,"Strong quake kills 2, injures dozens in northern Philippines - The Associated Press - en EspañolThe Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.",2,"{'2': {'2': 0.412102609872818, 'none': 0.213796004652977, '1': 0.015731221064925194, '3': 0.015366808511316776, '42': 0.01264039147645235}}",-1,"{'none': {'none': 0.19178499281406403, '40': 0.10265511274337769, '50': 0.096435546875, '30': 0.04849084094166756, '12': 0.029411181807518005}}",,"{'none': {'none': 0.2773903012275696, 'Philipp': 0.1351892352104187, 'Man': 0.07013525068759918, 'B': 0.05377456173300743, 'C': 0.035542815923690796}}",Philippines,-1,yes,-1
