,time,text,deaths,death_score,injuries,injury_score,city,city_score,country,country_score,earthquake,earthquake_score
0,2022-07-27T01:28:48Z,"Strong quake kills 2, injures dozens in northern PhilippinesMANILA, Philippines (AP) A strong earthquake left at least two people dead and injured dozens in the northern Philippines on Wednesday, where the temblor set off small landslides and damaged building… [+3080 chars]",2,"{'2': {'2': 0.7808619141578674, 'two': 0.05397512763738632, 'none': 0.04474695026874542, '1': 0.011402536183595657, 'yes': 0.008149025030434132}}",40,"{'40': {'40': 0.1499226838350296, 'none': 0.12236333638429642, '50': 0.10466290265321732, '30': 0.07657302170991898, '60': 0.035057682543992996}}",Manila,"{'Man': {'Man': 0.3934363126754761, 'none': 0.1887727975845337, 'Philipp': 0.06422670930624008, 'B': 0.043457966297864914, 'M': 0.023999767377972603}, 'ila': {'ila': 0.9711241126060486, 'illa': 0.02145492471754551, 'il': 0.0019956189207732677, 'ilan': 0.0005205883062444627, 'ag': 0.00045941758435219526}}",Philippines,-1,yes,-1
1,2022-07-27T01:28:13Z,"Strong earthquake kills 4, injures dozens in northern PhilippinesMANILA, Philippines (AP) A strong earthquake set off landslides and damaged buildings in the northern Philippines in Wednesday, killing at least four people and injuring dozens. In the capital, hospi… [+3483 chars]",4,"{'4': {'4': 0.8060837984085083, 'four': 0.03327105566859245, 'none': 0.026114750653505325, 'yes': 0.016215015202760696, '3': 0.008747344836592674}}",40,"{'40': {'40': 0.12814711034297943, '50': 0.10875704884529114, 'none': 0.08536438643932343, '30': 0.044983871281147, '45': 0.022975513711571693}}",Manila,"{'Man': {'Man': 0.7613429427146912, 'none': 0.07193110883235931, 'Philipp': 0.033977851271629333, 'B': 0.012499752454459667, 'C': 0.010202000848948956}, 'ila': {'ila': 0.975536584854126, 'illa': 0.019623691216111183, 'il': 0.0016361774178221822, 'ille': 0.0002670986286830157, 'ilan': 0.00026295764837414026}}",Philippines,-1,yes,-1
2,2022-07-27T05:10:48Z,"Strong quake kills 2, injures dozens in northern PhilippinesMANILA, Philippines (AP) A strong earthquake left at least two people dead and injured dozens in the northern Philippines on Wednesday, where the temblor set off small landslides and damaged building… [+2656 chars]",2,"{'2': {'2': 0.7808400392532349, 'two': 0.053973615169525146, 'none': 0.04545033723115921, '1': 0.010965405032038689, 'yes': 0.008674349635839462}}",40,"{'40': {'40': 0.13781042397022247, 'none': 0.1294609159231186, '50': 0.09471563249826431, '30': 0.059736400842666626, '60': 0.03197459131479263}}",Manila,"{'Man': {'Man': 0.3863149881362915, 'none': 0.19123977422714233, 'Philipp': 0.05832483619451523, 'B': 0.04613874480128288, 'M': 0.024313410744071007}, 'ila': {'ila': 0.9702271223068237, 'illa': 0.02211553230881691, 'il': 0.0019628650043159723, 'ilan': 0.0005282979691401124, 'ag': 0.0005120440036989748}}",Philippines,-1,yes,-1
3,2022-07-27T05:43:47Z,"Deadly quake rattles northern PhilippinesA strong earthquake has left at least two people dead and injured dozens more in the northern Philippines.
The tremor set off small landslides and damaged buildings, prompting terrified crowds and h… [+2867 chars]",2,"{'2': {'2': 0.5935792326927185, 'two': 0.0803322121500969, 'none': 0.06979383528232574, '1': 0.02095591090619564, 'yes': 0.014402773231267929}}",40,"{'40': {'40': 0.12227779626846313, 'none': 0.0944889560341835, '50': 0.07711963355541229, '30': 0.04225807636976242, '45': 0.023890549317002296}}",,"{'none': {'none': 0.2508012354373932, 'Man': 0.1474384367465973, 'B': 0.07413670420646667, 'Philipp': 0.07074173539876938, 'L': 0.03846161812543869}}",Philippines,-1,yes,-1
4,2022-07-27T06:41:36Z,"Powerful quake strikes northern Philippines, killing at least 2 people and injuring dozensA powerful earthquake that struck the northern Philippines on Wednesday morning killed at least four people and wounded dozens of others as it triggered small landslides and destroyed homes, per Al J… [+385 chars]",2,"{'2': {'2': 0.3749677240848541, '4': 0.3691544234752655, 'none': 0.06026279926300049, 'four': 0.018523266538977623, 'yes': 0.018523266538977623}}",40,"{'40': {'40': 0.12319131195545197, 'none': 0.11393333971500397, '50': 0.09898700565099716, '30': 0.033416539430618286, '42': 0.01964457333087921}}",,"{'none': {'none': 0.2924736738204956, 'Man': 0.13390420377254486, 'B': 0.07871822267770767, 'Philipp': 0.04020533338189125, 'C': 0.03603982552886009}}",Philippines,-1,yes,-1
5,2022-07-27T06:52:06Z,"Death toll in Philippines quake rises to 4, with 60 injuredMANILA (Reuters) A strong earthquake in northern Philippines has killed four people and injured 60, the interior minister said on Wednesday.
Two people died in Benguet province, one in Abra province… [+103 chars]",4,"{'4': {'4': 0.8456607460975647, 'four': 0.03228146582841873, 'none': 0.020359665155410767, '1': 0.011600588448345661, '60': 0.00903454702347517}}",60,"{'60': {'60': 0.8717591762542725, '6000': 0.022693434730172157, 'none': 0.018961073830723763, '600': 0.013031743466854095, '6': 0.00790415145456791}}",Manila,"{'Man': {'Man': 0.3868572413921356, 'Philipp': 0.1663852334022522, 'none': 0.14011041820049286, 'B': 0.08631952106952667, 'Ab': 0.01523630041629076}, 'ila': {'ila': 0.9797250628471375, 'illa': 0.015835780650377274, 'il': 0.0014055054634809494, 'ilan': 0.0003390939673408866, 'ag': 0.00024615583242848516}}",Philippines,-1,yes,-1
6,2022-07-27T07:26:39Z,News24.com | Powerful earthquake hits northern Philippines<ul><li>The Philippines was struck by a 7.1-magnitude earthquake on Wednesday. </li><li>Four people were killed and 60 injured.</li><li>The earthquake was the strongest recorded in the Philippines in… [+3748 chars],4,"{'4': {'4': 0.45974522829055786, '60': 0.1772475689649582, 'none': 0.11443964391946793, 'four': 0.030801009386777878, '0': 0.020678820088505745}}",60,"{'60': {'60': 0.7846513390541077, 'none': 0.03968068212270737, '6000': 0.019490497186779976, '600': 0.01874382793903351, '6': 0.0085147675126791}}",,"{'none': {'none': 0.3327246904373169, 'Philipp': 0.10634519904851913, 'Man': 0.10307329893112183, 'B': 0.05182851105928421, 'C': 0.035068921744823456}}",Philippines,-1,yes,-1
7,2022-07-27T08:38:10Z,"Graphics: Philippines earthquakeA powerful 7.1 magnitude earthquake struck the Philippine island of Luzon on Wednesday killing at least four people and injuring 60, damaging buildings in the northern Abra province and sending stron… [+2122 chars]",4,"{'4': {'4': 0.7326262593269348, 'four': 0.05064095929265022, 'none': 0.03244181349873543, 'yes': 0.02566358633339405, '0': 0.013005673885345459}}",60,"{'60': {'60': 0.880659282207489, 'none': 0.02239406295120716, '600': 0.0061702122911810875, '6': 0.005933835636824369, '6000': 0.005574322305619717}}",,"{'none': {'none': 0.2609907388687134, 'Philipp': 0.2609907388687134, 'Ab': 0.04981095343828201, 'Man': 0.04129473492503166, 'B': 0.035321254283189774}}",Philippines,-1,yes,-1
8,2022-07-27T08:39:58Z,"4 killed, 60 injured in 7-magnitude earthquake in northern PhilippinesMANILA, July 27 (Xinhua) -- A 7-magnitude earthquake that rattled the main Luzon island in the Philippines on Wednesday morning killed at least four people and injured some 60 others, Interior and Lo… [+3850 chars]",4,"{'4': {'4': 0.8277586698532104, 'four': 0.04743434861302376, 'none': 0.019928663969039917, '1': 0.010835026390850544, '0': 0.008706189692020416}}",60,"{'60': {'60': 0.8449686765670776, '6000': 0.03225504606962204, 'none': 0.01971711590886116, '600': 0.018093440681695938, '6': 0.011682004667818546}}",Manila,"{'Man': {'Man': 0.4468041658401489, 'none': 0.18336805701255798, 'Philipp': 0.13626757264137268, 'B': 0.023312633857131004, 'C': 0.01370478980243206}, 'ila': {'ila': 0.979125440120697, 'illa': 0.01711208187043667, 'il': 0.001566995051689446, 'ilan': 0.0003442231100052595, 'ille': 0.000165160046890378}}",Philippines,-1,yes,-1
9,2022-06-27T02:18:59Z,"After earthquake that killed 1,000, Afghanistan braces for cholera, disease outbreaksKabul/Wor Kali, AfghanistanThousands affected by a deadly earthquake in eastern Afghanistan are in need of clean water and food and are at risk of disease, an Afghan health ministry official said on … [+2028 chars]",1000,"{'1000': {'1000': 0.39734381437301636, '1': 0.3243025839328766, 'none': 0.10862775146961212, '100': 0.013281397521495819, '10': 0.01075560413300991}}",4000,"{'4000': {'4000': 0.19114302098751068, 'none': 0.14094002544879913, '5000': 0.07603143900632858, '4': 0.06605726480484009, '6000': 0.03194320574402809}}",Kabul,"{'K': {'K': 0.5081765651702881, 'none': 0.2677902281284332, 'Af': 0.15742574632167816, 'W': 0.0071923392824828625, 'B': 0.0027946417685598135}, 'abul': {'abul': 0.9957644939422607, 'and': 0.0015936242416501045, 'AB': 0.00031874491833150387, 'und': 0.0002482387935742736, 'ab': 0.00016796676209196448}}",Afghanistan,-1,yes,-1
