,time,text,deaths,death_score,injuries,injury_score,city,city_score,country,country_score,earthquake,earthquake_score,tweet_loc
0,2022-07-27T23:05:46.000Z,"""It felt like something rammed into [my] house.""\nA suspected gas explosion in Hopkins killed 2 people, shaking the screens from nearby houses and engulfing one home in flames: https://t.co/ZvXhLJKjPb",2,"{'2': {'2': 0.6572080254554749, 'none': 0.1942703276872635, 'two': 0.011132576502859592, 'yes': 0.010136326774954796, '1': 0.009824464097619057}}",-1,"{'none': {'none': 0.3605661690235138, '2': 0.06669803708791733, '1': 0.05359337478876114, '10': 0.026324182748794556, '3': 0.021823514252901077}}",Hopkins,"{'Hop': {'Hop': 0.5571182370185852, 'none': 0.14994634687900543, 'H': 0.05304894968867302, 'Baltimore': 0.014277930371463299, 'New': 0.006335793063044548}, 'kins': {'kins': 0.9952669143676758, 'k': 0.002545331371948123, 'kin': 0.0014278016751632094, 'kinson': 7.686235039727762e-05, 'K': 7.334256952162832e-05}}",USA,-1,yes,-1,"[-93.329515, 44.889964, -93.194578, 45.051257]"
1,2022-07-27T21:52:05.000Z,"3 dead, including suspect, after multiple shootings in Langley https://t.co/gRhRMqH5yk",3,"{'3': {'3': 0.7466084957122803, 'none': 0.0987018272280693, '2': 0.02476152405142784, '1': 0.02437763102352619, ' 3': 0.007262531667947769}}",-1,"{'none': {'none': 0.270012766122818, '3': 0.07857819646596909, '2': 0.0607205294072628, '1': 0.0499473437666893, '4': 0.03682886064052582}}",Langley,"{'L': {'L': 0.8663038611412048, 'none': 0.0871264711022377, 'Canada': 0.0018082520691677928, 'USA': 0.0016082926886156201, ' Lang': 0.0014304452342912555}, 'ang': {'ang': 0.9975651502609253, 'angan': 0.00044333370169624686, 'ANG': 0.0003143706708215177, 'ange': 0.00021946607739664614, 'ans': 0.00019672814232762903}, 'ley': {'ley': 0.9996757507324219, 'ly': 0.00014650523371528834, 'lay': 2.3362303181784227e-05, 'en': 1.0126807865162846e-05, 'lie': 8.265260476036929e-06}}",USA,-1,yes,-1,"[-53.039678, 47.330824, -52.619172, 47.634389]"
2,2022-07-27T19:34:45.000Z,"Update: Two dead in crash on Burnaby-New West border, police watchdog investigating https://t.co/QChDNE6Moh via @TheRecord\nNW Police &amp; RCMP have excellent presence in that area, why didn't Transit Officer call for back up?\nCriminal don't think, Police must!\nNow 2 innocent victims",2,"{'2': {'2': 0.5412778258323669, 'none': 0.22563815116882324, 'two': 0.039517562836408615, '1': 0.016602572053670883, 'yes': 0.009836697950959206}}",-1,"{'none': {'none': 0.4933256506919861, '2': 0.04145493730902672, '1': 0.03129182755947113, 'Burn': 0.022189229726791382, '4': 0.019890297204256058}}",Burnaby,"{'Burn': {'Burn': 0.5539093613624573, 'none': 0.2918897569179535, 'New': 0.05747649818658829, 'B': 0.00888343807309866, 'V': 0.006705570966005325}, 'aby': {'aby': 0.997986912727356, 'ab': 0.0005025753052905202, 'by': 0.0002648385416250676, 's': 0.00014625773474108428, 'away': 9.224360110238194e-05}}",Canada,-1,yes,-1,"[-122.958937, 49.001921, -122.678035, 49.221117]"
3,2022-07-27T16:36:21.000Z,"@CAL_FIRE The Carr fire in shasta co ca started 4 yrs ago from a blown out tire on RV trailer. 8 people died 1000+ homes destroyed and 260,000 acres burned.",8,"{'8': {'8': 0.4758298397064209, 'none': 0.2711196541786194, '260': 0.0366920568048954, '3': 0.013710820116102695, '4': 0.011455819010734558}}",-1,"{'none': {'none': 0.3605453073978424, '260': 0.2637805640697479, '1000': 0.018665561452507973, '26': 0.016862928867340088, '10': 0.014423628337681293}}",Carr,"{'C': {'C': 0.3976946771144867, 'sh': 0.13321103155612946, 'none': 0.10055296123027802, 'Sh': 0.08873768150806427, 'California': 0.04427287355065346}, 'arr': {'arr': 0.6684474945068359, 'ala': 0.060262370854616165, 'arm': 0.045488424599170685, 'arson': 0.04340536147356033, 'AL': 0.011866364628076553}}",USA,-1,yes,-1,"[-124.482003, 32.528832, -114.131212, 42.009519]"
4,2022-07-27T13:44:28.000Z,"🚨 ACCIDENT NEWS: A Panorama City truck accident at a gas station left eleven people with injuries, including five children. Read more about this incident here: https://t.co/iyrqI1FVZD",11,"{'11': {'11': 0.5813316106796265, 'none': 0.11269626766443253, 'ele': 0.08374876528978348, '5': 0.04244180768728256, '10': 0.012351269833743572}}",5,"{'5': {'5': 0.4066859483718872, 'none': 0.15679140388965607, 'five': 0.04598677530884743, 'yes': 0.03338281810283661, '10': 0.028111150488257408}}",Panorama City,"{'Pan': {'Pan': 0.5025815367698669, 'none': 0.2195616364479065, 'Los': 0.07297160476446152, 'P': 0.013818494975566864, 'City': 0.01127832755446434}, 'orama': {'orama': 0.9861969351768494, 'ora': 0.0030661372002214193, 'or': 0.0023693274706602097, 'ama': 0.0008716268348507583, 'amera': 0.0008188175852410495}, ' City': {' City': 0.9477354288101196, '|': 0.02447924017906189, ' city': 0.01439060177654028, 'City': 0.0018153219716623425, ' |': 0.0008642228203825653}}",USA,-1,yes,-1,"[-118.668404, 33.704538, -118.155409, 34.337041]"
5,2022-07-27T12:36:28.000Z,Powerful earthquake of magnitude 7 strikes in #Philippines killed 4 person 60  injured and several buildings damaged through capital #Manila. Geological survey data of #USA at a shallow depth 10 km. rescue operation started  by @UNOCHA #Earhquake #World #Eu @UNOCHA_fr  #Indonesia https://t.co/3rSUj51G1j,4,"{'4': {'4': 0.5874678492546082, 'none': 0.09222756326198578, '60': 0.09150984138250351, 'yes': 0.012978854589164257, '5': 0.012192506343126297}}",60,"{'60': {'60': 0.6954439282417297, 'none': 0.10018820315599442, '6': 0.012442437000572681, '10': 0.011507372371852398, '6000': 0.011240803636610508}}",Manila,"{'Man': {'Man': 0.7386090159416199, 'Philipp': 0.12636110186576843, 'none': 0.06158348545432091, 'man': 0.004323839209973812, 'Ph': 0.0038758644368499517}, 'ila': {'ila': 0.9919329285621643, 'illa': 0.004452232271432877, 'il': 0.001217172364704311, 'ag': 0.0002780283975880593, 'ile': 0.00016995533951558173}}",Philippines,-1,yes,-1,"[82.4033664, 25.6332299, 82.8697847, 25.904952]"
6,2022-07-27T12:05:18.000Z,"@NikaMelkozerova try 52,000 KIA Ruzzians if you include wounded Ruzzians who die later from their untreated wounds &amp; injuries.  How many front line Ruzxian hospitals have you seen?  None.",52000,"{'52': {'52': 0.5111919045448303, 'none': 0.24913503229618073, '5': 0.018620163202285767, 'R': 0.00966001395136118, '5000': 0.008392765186727047}, '000': {'000': 0.7723551988601685, ',': 0.14972788095474243, '|': 0.039058852940797806, 'k': 0.01964002661406994, 'K': 0.007997523993253708}}",-1,"{'none': {'none': 0.24510706961154938, '4': 0.0944971963763237, '4000': 0.08946814388036728, '400': 0.07533972710371017, '52': 0.035587966442108154}}",Ruzia,"{'R': {'R': 0.4761804938316345, 'Russia': 0.11134929209947586, 'none': 0.0887753888964653, 'Moscow': 0.055989935994148254, 'K': 0.041934527456760406}, 'uz': {'uz': 0.7927700281143188, 'uzz': 0.054798245429992676, 'ux': 0.03885777294635773, 'usk': 0.0172430332750082, 'use': 0.011220255866646767}, 'ia': {'ia': 0.3706936538219452, 'x': 0.081430584192276, 'h': 0.05424446240067482, 'ian': 0.041590671986341476, 'jan': 0.03341904282569885}}",Russia,-1,yes,-1,"[-76.674431, 34.707575, -76.617375, 34.771744]"
7,2022-07-27T11:49:02.000Z,#BreakingNews  Magnitude 7.0 earthquake kills 5 and injured dozens in northern Philippines. #Philippines #EarthquakePH https://t.co/RxBeRgtn7p,5,"{'5': {'5': 0.7314910292625427, 'none': 0.09299863874912262, 'yes': 0.012294444255530834, '50': 0.00851611327379942, '3': 0.007876116782426834}}",-1,"{'none': {'none': 0.1613484025001526, '50': 0.11804500967264175, '40': 0.08704093098640442, '30': 0.07681335508823395, 'do': 0.0340857207775116}}",,"{'none': {'none': 0.3471692204475403, 'Philipp': 0.15166699886322021, 'B': 0.0762629583477974, 'Man': 0.03895130380988121, 'C': 0.024375103414058685}}",Philippines,-1,yes,-1,"[116.8748754, 4.4073918, 126.7814024, 21.1879257]"
8,2022-07-27T09:04:11.000Z,10 die after drinking #alcohol\n#earthquake\n#BBNaija7\nhttps://t.co/eY3kLrWugC,10,"{'10': {'10': 0.8426465392112732, 'none': 0.046076249331235886, '5': 0.007177295628935099, '3': 0.007177295628935099, ' 10': 0.005767119117081165}}",-1,"{'none': {'none': 0.3406238257884979, '10': 0.046459976583719254, '400': 0.033726323395967484, '4': 0.027742518112063408, '100': 0.02429215982556343}}",,"{'none': {'none': 0.3241574764251709, 'BB': 0.1818358600139618, 'N': 0.16299661993980408, 'B': 0.04318980500102043, 'Ab': 0.012967931106686592}}",Nigeria,-1,yes,-1,"[5.5532952, 6.2445092, 5.7292806, 6.4254003]"
9,2022-07-27T06:38:59.000Z,"https://t.co/s4R4sjBhsF\n\nA strong earthquake left at least two people dead and injured dozens in the northern Philippines on Wednesday, where the temblor set off small landslides and d...",2,"{'2': {'2': 0.5895600914955139, 'none': 0.09255602955818176, 'two': 0.040434736758470535, '1': 0.030761124566197395, '3': 0.016465244814753532}}",-1,"{'none': {'none': 0.12652064859867096, '40': 0.08971656858921051, '50': 0.07152829319238663, '30': 0.056143198162317276, '45': 0.024336274713277817}}",,"{'none': {'none': 0.24990984797477722, 'Philipp': 0.14922797679901123, 'Man': 0.06726232171058655, 'B': 0.06418216228485107, 'C': 0.027820907533168793}}",Philippines,-1,yes,-1,"[-94.733122, 38.868002, -94.3854414, 39.332095]"
