,time,text,deaths,death_score,injuries,injury_score,location,location_score,tweet_loc
0,2022-07-27T23:05:46.000Z,"""It felt like something rammed into [my] house.""\nA suspected gas explosion in Hopkins killed 2 people, shaking the screens from nearby houses and engulfing one home in flames: https://t.co/ZvXhLJKjPb",2,"{'2': {'2': 0.6063886284828186, 'none': 0.23015916347503662, '2000': 0.008717508986592293, '1': 0.007937381975352764, 'two': 0.006230123341083527}}",-1,"{'none': {'none': 0.5627992153167725, '1': 0.1116909310221672, '2': 0.03199998661875725, '3': 0.013979758135974407, '10': 0.012241085059940815}}",Hopkins,"{'Hop': {'Hop': 0.4544198215007782, 'H': 0.028377143666148186, 'Baltimore': 0.02583768218755722, 'Mary': 0.016168808564543724, '\n': 0.016168808564543724}, 'kins': {'kins': 0.9964873790740967, 'k': 0.001835581730119884, 'kin': 0.0010960758663713932, 'ew': 5.7637840654933825e-05, 'kinson': 5.372436862671748e-05}}","[-93.329515, 44.889964, -93.194578, 45.051257]"
1,2022-07-27T21:52:05.000Z,"3 dead, including suspect, after multiple shootings in Langley https://t.co/gRhRMqH5yk",3,"{'3': {'3': 0.7519184350967407, 'none': 0.11176269501447678, '1': 0.022529268637299538, '2': 0.016612041741609573, '4': 0.0052682082168757915}}",-1,"{'none': {'none': 0.391880601644516, '1': 0.16082747280597687, '2': 0.08023981004953384, '3': 0.04431262984871864, '0': 0.028610384091734886}}",Langley,"{'L': {'L': 0.9020833373069763, 'Canada': 0.02519339695572853, 'British': 0.004412292502820492, 'USA': 0.004080703482031822, 'V': 0.0034362967126071453}, 'ang': {'ang': 0.9965445399284363, 'ANG': 0.0005686692893505096, 'angan': 0.0004641343839466572, 'ans': 0.00039699513581581414, 'ange': 0.00024649989791214466}, 'ley': {'ley': 0.9998016953468323, 'ly': 6.921289605088532e-05, 'lay': 1.7363576262141578e-05, 'en': 8.20197328721406e-06, 'ton': 6.4378023125755135e-06}}","[-53.039678, 47.330824, -52.619172, 47.634389]"
2,2022-07-27T19:34:45.000Z,"Update: Two dead in crash on Burnaby-New West border, police watchdog investigating https://t.co/QChDNE6Moh via @TheRecord\nNW Police &amp; RCMP have excellent presence in that area, why didn't Transit Officer call for back up?\nCriminal don't think, Police must!\nNow 2 innocent victims",2,"{'2': {'2': 0.4395308494567871, 'none': 0.3266315758228302, 'two': 0.032850202172994614, '1': 0.009786661714315414, '200': 0.007104354444891214}}",-1,"{'none': {'none': 0.6243708729743958, '1': 0.06736880540847778, '2': 0.034140847623348236, '0': 0.021871445700526237, '10': 0.012078560888767242}}",Burnaby-New West,"{'Burn': {'Burn': 0.5282106399536133, 'Canada': 0.06874696910381317, '\n': 0.05108840763568878, 'New': 0.03917084261775017, 'BC': 0.03622710704803467}, 'aby': {'aby': 0.9973419308662415, 'ab': 0.0005603008903563023, 's': 0.00025058205937966704, 'by': 0.00018476761761121452, 'away': 0.00015437912952620536}, '-': {'-': 0.5934978723526001, '|': 0.2474067062139511, ',': 0.042326297610998154, '/': 0.03024924173951149, ' -': 0.009444274008274078}, 'New': {'New': 0.9821749329566956, 'NW': 0.0035422760993242264, ' New': 0.0027159571181982756, 'N': 0.0025514056906104088, 'West': 0.0006350950570777059}, ' West': {' West': 0.9433823823928833, ' Westminster': 0.03436269983649254, 'West': 0.015011953189969063, '-': 0.0019085555104538798, '\\': 0.0007532630115747452}}","[-122.958937, 49.001921, -122.678035, 49.221117]"
3,2022-07-27T16:36:21.000Z,"@CAL_FIRE The Carr fire in shasta co ca started 4 yrs ago from a blown out tire on RV trailer. 8 people died 1000+ homes destroyed and 260,000 acres burned.",8,"{'8': {'8': 0.4599195122718811, 'none': 0.2878102958202362, '260': 0.05711769312620163, '4': 0.010160945355892181, '3': 0.009397338144481182}}",-1,"{'none': {'none': 0.2940259575843811, '260': 0.2849797308444977, '1000': 0.07318884879350662, '26': 0.026096286252141, '100': 0.01291859894990921}}",Carr,"{'C': {'C': 0.3843344449996948, 'California': 0.3339155614376068, 'sh': 0.07221430540084839, 'Sh': 0.06890737265348434, 'CA': 0.028501326218247414}, 'arr': {'arr': 0.8291276693344116, 'AL': 0.0279313325881958, 'ala': 0.025037486106157303, 'arson': 0.02209550328552723, 'ali': 0.012787897139787674}}","[-124.482003, 32.528832, -114.131212, 42.009519]"
4,2022-07-27T15:43:02.000Z,Powerful 7.1 earthquake strikes Philippines; at least 5 dead https://t.co/PUIeXpytRM,5,"{'5': {'5': 0.6771520972251892, 'none': 0.11767137795686722, 'at': 0.023906392976641655, '5000': 0.020933136343955994, '4': 0.016302742063999176}}",-1,"{'none': {'none': 0.34325745701789856, '5000': 0.05872442573308945, '500': 0.03674880415201187, '5': 0.035618167370557785, '4000': 0.029070697724819183}}",Philippines,"{'Philipp': {'Philipp': 0.7511506080627441, 'The': 0.07322091609239578, 'Fil': 0.01794355735182762, 'Phil': 0.014992404729127884, '\n': 0.012924259528517723}, 'ines': {'ines': 0.9965733289718628, 'ine': 0.0031718744430691004, 'i': 4.892081778962165e-05, 'in': 3.233468669350259e-05, 'ina': 2.9904696930316277e-05}}","[-118.5173575, 33.9951771, -118.443482, 34.050199]"
5,2022-07-27T13:44:28.000Z,"🚨 ACCIDENT NEWS: A Panorama City truck accident at a gas station left eleven people with injuries, including five children. Read more about this incident here: https://t.co/iyrqI1FVZD",11,"{'11': {'11': 0.4572960138320923, 'none': 0.1341244876384735, 'ele': 0.09146495908498764, '5': 0.07123298197984695, 'five': 0.02105643041431904}}",-1,"{'none': {'none': 0.32299819588661194, '5': 0.28953370451927185, '5000': 0.048009395599365234, 'five': 0.03004351072013378, '10': 0.023766374215483665}}",Panorama City,"{'Pan': {'Pan': 0.40903300046920776, 'Los': 0.19934675097465515, 'California': 0.1171899139881134, 'USA': 0.018834134563803673, '\n': 0.0166210625320673}, 'orama': {'orama': 0.9872243404388428, 'or': 0.002409145934507251, 'ora': 0.0017763928044587374, 'ama': 0.0017083403654396534, 'amera': 0.001249848399311304}, ' City': {' City': 0.9708449244499207, '|': 0.010785114020109177, ' city': 0.009517828933894634, 'City': 0.0017064526909962296, ' Park': 0.000488906865939498}}","[-118.668404, 33.704538, -118.155409, 34.337041]"
6,2022-07-27T12:58:21.000Z,Powerful 7.1 earthquake strikes Philippines; at least 4 dead https://t.co/qx7ooH3HTK,4,"{'4': {'4': 0.7036169767379761, 'none': 0.08338109403848648, 'at': 0.03421953320503235, '400': 0.011284404434263706, '4000': 0.011023001745343208}}",-1,"{'none': {'none': 0.38621386885643005, '4': 0.0464884452521801, '5000': 0.025275329127907753, '1000': 0.024117888882756233, '100': 0.023559195920825005}}",Philippines,"{'Philipp': {'Philipp': 0.740156888961792, 'The': 0.07328546047210693, 'Fil': 0.016224943101406097, '\n': 0.01572575233876705, 'Phil': 0.014543943107128143}, 'ines': {'ines': 0.9964514970779419, 'ine': 0.0032721601892262697, 'i': 5.4568441555602476e-05, 'in': 3.361863855388947e-05, 'ina': 3.258430297137238e-05}}","[-111.083219, 32.057802, -110.747928, 32.320979]"
7,2022-07-27T12:36:28.000Z,Powerful earthquake of magnitude 7 strikes in #Philippines killed 4 person 60  injured and several buildings damaged through capital #Manila. Geological survey data of #USA at a shallow depth 10 km. rescue operation started  by @UNOCHA #Earhquake #World #Eu @UNOCHA_fr  #Indonesia https://t.co/3rSUj51G1j,4,"{'4': {'4': 0.6168864369392395, '60': 0.12930642068386078, 'none': 0.04297516867518425, '4000': 0.021441107615828514, '40': 0.013313086703419685}}",60,"{'60': {'60': 0.7729554772377014, 'none': 0.03908920660614967, '6000': 0.025041488930583, '6': 0.010438845492899418, '600': 0.0091405576094985}}",Philippines,"{'Philipp': {'Philipp': 0.7582473754882812, 'Man': 0.1589372754096985, '\n': 0.003538921708241105, 'Ph': 0.0031722690910100937, 'The': 0.0029568797908723354}, 'ines': {'ines': 0.9922260046005249, 'ine': 0.007228820584714413, 'in': 0.00011324812658131123, 'ina': 8.548417099518701e-05, 'i': 5.784148015663959e-05}}","[82.4033664, 25.6332299, 82.8697847, 25.904952]"
8,2022-07-27T12:05:18.000Z,"@NikaMelkozerova try 52,000 KIA Ruzzians if you include wounded Ruzzians who die later from their untreated wounds &amp; injuries.  How many front line Ruzxian hospitals have you seen?  None.",52000,"{'52': {'52': 0.4707532823085785, 'none': 0.2519761025905609, '5000': 0.02004709467291832, '5': 0.018832502886652946, 'R': 0.008826615288853645}, '000': {'000': 0.5633251667022705, ',': 0.3580712378025055, '|': 0.04624054580926895, 'k': 0.011156050488352776, 'K': 0.00896413903683424}}",-1,"{'none': {'none': 0.3549066483974457, '4000': 0.06616603583097458, '0': 0.05358288809657097, '5000': 0.048408105969429016, '6000': 0.039509546011686325}}",Russia,"{'Russia': {'Russia': 0.637280285358429, 'R': 0.2272293120622635, 'Russian': 0.02064601145684719, 'Rus': 0.010795016773045063, '\n': 0.008212415501475334}}","[-76.674431, 34.707575, -76.617375, 34.771744]"
9,2022-07-27T11:49:02.000Z,#BreakingNews  Magnitude 7.0 earthquake kills 5 and injured dozens in northern Philippines. #Philippines #EarthquakePH https://t.co/RxBeRgtn7p,5,"{'5': {'5': 0.6592392921447754, 'none': 0.1590488851070404, '50': 0.014338690787553787, 'd': 0.006564730778336525, '40': 0.006071383599191904}}",-1,"{'none': {'none': 0.13477252423763275, '50': 0.11893633753061295, '40': 0.11527705192565918, '30': 0.08769814670085907, 'do': 0.04694143682718277}}",Philippines,"{'Philipp': {'Philipp': 0.6458643078804016, 'Northern': 0.06495627760887146, 'The': 0.043951615691185, 'n': 0.019810544326901436, 'PH': 0.015189272351562977}, 'ines': {'ines': 0.9970384836196899, 'ine': 0.002672232687473297, 'in': 5.0104314141208306e-05, 'i': 4.491321669775061e-05, 'ina': 2.44188940996537e-05}}","[116.8748754, 4.4073918, 126.7814024, 21.1879257]"
