,time,text
0,2022-07-27T14:15:51.000Z,"@1971jpe @bearsarestupid @KyivIndependent It really hasn’t taken any ground in the last few weeks - after the HIMARS system destroyed so many ammo depots, hampering the logistics of getting ammo to the artillery at the front.\n\nAlso, Russia has just about scraped the bottom of the barrel of their active duty military. If"
1,2022-07-27T14:15:26.000Z,The tide has receded enough to see the small plane that crashed just offshore Alki beach yesterday evening. The 66-year-old pilot swam to shore and had no major injuries. Efforts to remove the plane should start around 10:00 am. @KING5Seattle https://t.co/4lvwoButyl
2,2022-07-27T14:15:15.000Z,"@disclosetv monkypox is a scam to hide the fact that the vax contained hiv insertions .. question, how did suddenly 750 worldwide suddenly tun into a worldwide emergency practically overnight? because they are trying to hide their screwup"
3,2022-07-27T14:15:12.000Z,"(2/2)\nGreatest threat will be the potential for heavy rain, damaging winds, and hail. Stay with the Huffman Weather Service for continued coverage.\n\n#NCWX #SCWX #CLTWX #JDHuffmanHWS #HuffmanWeatherService @HuffmanWeather #Meteorology #Weather #MeteorologyStudent #HWSSevere22"
4,2022-07-27T14:15:12.000Z,(1/2) The #Charlotte Metro Area is included in the MARGINAL RISK zone for #SevereWeather for Wednesday (7/27/22). \n\n#NCWX #SCWX #CLTWX #JDHuffmanHWS #HuffmanWeatherService @HuffmanWeather #Meteorology #Weather #MeteorologyStudent #HWSSevere22 https://t.co/EbpFjq6NuP
5,2022-07-27T14:14:47.000Z,Happy Humpday⛅️I pray that anything sent to\ndestroy you is being returned to sender!✍🏾🤷🏽‍♀️😜
6,2022-07-27T14:14:27.000Z,Plan 9 Crunch: All About Cult Films: Attack of The Giant Leeches – Terror In The Florida Everglades!: https://t.co/rcgx9mtKuy
7,2022-07-27T14:14:26.000Z,"And instead of dealing with it I was trying to burn bridges instead and took the argument as a greenlight for it. I didn't feel like I had a single space I could really escape to and every last venty word felt like I was signing my own social death warrant, so I focused"
8,2022-07-27T14:14:25.000Z,"@Osemudiame142 @Emmytonez @sonofman09 @SeerVoice @Letter_to_Jack My dear,its terrible to imagine let alone seeing the evidence here with arrogance. Tragic"
9,2022-07-27T14:14:22.000Z,I want my 1 week payout back\n#rapidocaptain #fraud #earthquake #fake #kailashgahlot https://t.co/dB6WVDNTA6
10,2022-07-27T14:14:20.000Z,"🫶@NCSounds 🎶As iLike to say 🔛the internet \n&amp; \niN real LiFE\n “if the🌎iS ending; Let’s Party! So when the🌍ends, we can all celebrate🎉 together in peace, with love 💗 having everything! \nThis world is Rrr🏴‍☠️’$ \n🔗🔛 @iTunes https://t.co/Rop2lB5tXN https://t.co/8ltoPj2k6y"
11,2022-07-27T14:13:55.000Z,"I'm sure when you all see this a certain seasoning cube came to your mind😅. \nWell, I got tired and this helped a lot.\n\nPls share, like and retweet.\nMore hacks are coming in🤗\n\n#BBNajia Abuja Doyin Phyna #earthquake Tinubu is 70 Bella As a Nigerian Pheelzs Jet Li Drope Hermes https://t.co/rHqeg6IriE"
12,2022-07-27T14:13:21.000Z,@BhumiYa026 All diseases are destroyed by staying in the limit of Satbhakti.\n For more details watch Sadhna TV at 7:30 PM\n\n#हमारे_दुख_दूर_हुऐ\n#TheStoryOfLordShiva https://t.co/Shp8Y9yYcE
13,2022-07-27T14:13:15.000Z,Ignore that dudes name so immature some of these kids... but this is when I realized I've blocked 1 Million damage with my walls. That's at 970 games played with Rampy. That's 1.3k damage a game I block with her walls.\n\nI'm different.\n\n#apex #ApexLegends https://t.co/JBHvzzYWie
